z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
1.000000000000000021e-02,4.806009802080188000e+15,1.015037437733209980e-01,4.806009802080188000e+15,2.112016994417844774e-17,1.000000000000000000e+00
1.086606113854597482e-02,5.219998203955069000e+15,1.016343288578930859e-01,5.219998203955069000e+15,1.947018464122979143e-17,1.000000000000000000e+00
1.180712846666190363e-02,5.669438632209175000e+15,1.017762868383088881e-01,5.669438632209175000e+15,1.795173974722967459e-17,1.000000000000000000e+00
1.282969797894147577e-02,6.157329704796611000e+15,1.019306141044270114e-01,6.157329704796611000e+15,1.655435375257267970e-17,1.000000000000000000e+00
1.394082826282577910e-02,6.686917020118122000e+15,1.020983953948495504e-01,6.686917020118122000e+15,1.526838079307375998e-17,1.000000000000000000e+00
1.514818922258345801e-02,7.261712317279564000e+15,1.022808118171293218e-01,7.261712317279564000e+15,1.408494406666973331e-17,1.000000000000000000e+00
1.646011502308550659e-02,7.885513911708449000e+15,1.024791496284294390e-01,7.885513911708449000e+15,1.299587455882461935e-17,1.000000000000000000e+00
1.788566161883461958e-02,8.562428452345252000e+15,1.026948098541834303e-01,8.562428452345252000e+15,1.199365465366957686e-17,1.000000000000000000e+00
1.943466926536021114e-02,9.296894040400244000e+15,1.029293188310702878e-01,9.296894040400244000e+15,1.107136624164848925e-17,1.000000000000000000e+00
2.111783044448244454e-02,1.009370474143241400e+16,1.031843397705048820e-01,1.009370474143241400e+16,1.022264296546699182e-17,1.000000000000000000e+00
2.294676367231936187e-02,1.095803651189231400e+16,1.034616854499968153e-01,1.095803651189231400e+16,9.441626274717558033e-18,1.000000000000000000e+00
2.493409369951879104e-02,1.189547454790031800e+16,1.037633321523349639e-01,1.189547454790031800e+16,8.722924985842647812e-18,1.000000000000000000e+00
2.709353865732051433e-02,1.291204204747424000e+16,1.040914349868162225e-01,1.291204204747424000e+16,8.061578068294614699e-18,1.000000000000000000e+00
2.944000475100035097e-02,1.401423035720555800e+16,1.044483447428897760e-01,1.401423035720555800e+16,7.453020400024080205e-18,1.000000000000000000e+00
3.198968915434537846e-02,1.520903045001539800e+16,1.048366264449070578e-01,1.520903045001539800e+16,6.893051255926765377e-18,1.000000000000000000e+00
3.476019181541977615e-02,1.650396565157239600e+16,1.052590797974626291e-01,1.650396565157239600e+16,6.377805311745434396e-18,1.000000000000000000e+00
3.777063694539368327e-02,1.790712549867798200e+16,1.057187617344428204e-01,1.790712549867798200e+16,5.903725963290292337e-18,1.000000000000000000e+00
4.104180502904709177e-02,1.942720057287248800e+16,1.062190113117734286e-01,1.942720057287248800e+16,5.467540776826806795e-18,1.000000000000000000e+00
4.459627626819093194e-02,2.107351810616392400e+16,1.067634772144528538e-01,2.107351810616392400e+16,5.066238901193481697e-18,1.000000000000000000e+00
4.845858644816495447e-02,2.285607810263374400e+16,1.073561481833038567e-01,2.285607810263374400e+16,4.697050285758912541e-18,1.000000000000000000e+00
5.265539630332757848e-02,2.478558965933279600e+16,1.080013867065979793e-01,2.478558965933279600e+16,4.357426560797233194e-18,1.000000000000000000e+00
5.721567555063251931e-02,2.687350710205776800e+16,1.087039663670049533e-01,2.687350710205776800e+16,4.045023448341851663e-18,1.000000000000000000e+00
6.217090286163826779e-02,2.913206547617484800e+16,1.094691132859972049e-01,2.913206547617484800e+16,3.757684582149680022e-18,1.000000000000000000e+00
