# G_eff vs. r pro kompletní model
# M = 1.989e+30 kg = 1.00e+00 M_sun
# rho = 1.408e+03 kg/m^3
# R_proj = 2.300e-02 m
# sigma_max = 0.2
# r[m], G_eff/G_N
1.000000e-06,0.000000e+00
1.086606e-06,0.000000e+00
1.180713e-06,0.000000e+00
1.282970e-06,0.000000e+00
1.394083e-06,0.000000e+00
1.514819e-06,0.000000e+00
1.646012e-06,0.000000e+00
1.788566e-06,0.000000e+00
1.943467e-06,0.000000e+00
2.111783e-06,0.000000e+00
2.294676e-06,0.000000e+00
2.493409e-06,0.000000e+00
2.709354e-06,0.000000e+00
2.944000e-06,0.000000e+00
3.198969e-06,0.000000e+00
3.476019e-06,0.000000e+00
3.777064e-06,0.000000e+00
4.104181e-06,0.000000e+00
4.459628e-06,0.000000e+00
4.845859e-06,0.000000e+00
5.265540e-06,0.000000e+00
5.721568e-06,0.000000e+00
6.217090e-06,0.000000e+00
6.755528e-06,0.000000e+00
7.340598e-06,0.000000e+00
7.976339e-06,0.000000e+00
8.667139e-06,0.000000e+00
9.417766e-06,0.000000e+00
1.023340e-05,0.000000e+00
1.111968e-05,0.000000e+00
1.208271e-05,0.000000e+00
1.312915e-05,0.000000e+00
1.426621e-05,0.000000e+00
1.550175e-05,0.000000e+00
1.684430e-05,0.000000e+00
1.830312e-05,0.000000e+00
1.988828e-05,0.000000e+00
2.161073e-05,0.000000e+00
2.348235e-05,0.000000e+00
2.551606e-05,0.000000e+00
2.772591e-05,0.000000e+00
3.012714e-05,0.000000e+00
3.273634e-05,0.000000e+00
3.557150e-05,0.000000e+00
3.865221e-05,0.000000e+00
4.199973e-05,0.000000e+00
4.563716e-05,0.000000e+00
4.958962e-05,0.000000e+00
5.388438e-05,0.000000e+00
5.855110e-05,0.000000e+00
6.362198e-05,0.000000e+00
6.913204e-05,0.000000e+00
7.511929e-05,0.000000e+00
8.162509e-05,0.000000e+00
8.869432e-05,0.000000e+00
9.637579e-05,0.000000e+00
1.047225e-04,0.000000e+00
1.137921e-04,0.000000e+00
1.236472e-04,0.000000e+00
1.343558e-04,0.000000e+00
1.459919e-04,0.000000e+00
1.586357e-04,0.000000e+00
1.723745e-04,0.000000e+00
1.873032e-04,0.000000e+00
2.035248e-04,0.000000e+00
2.211512e-04,0.000000e+00
2.403043e-04,0.000000e+00
2.611161e-04,0.000000e+00
2.837304e-04,0.000000e+00
3.083031e-04,0.000000e+00
3.350041e-04,0.000000e+00
3.640175e-04,0.000000e+00
3.955436e-04,0.000000e+00
4.298001e-04,0.000000e+00
4.670234e-04,0.000000e+00
5.074705e-04,0.000000e+00
5.514206e-04,0.000000e+00
5.991770e-04,0.000000e+00
6.510694e-04,0.000000e+00
7.074559e-04,0.000000e+00
7.687260e-04,0.000000e+00
