channel,Lambda_TeV,C,C_over_L2_TeV^-2,allowed
dilepton,10,0.01,0.0001,True
dilepton,10,0.03,0.0003,True
dilepton,10,0.1,0.001,True
dilepton,10,0.3,0.003,False
dilepton,10,1.0,0.01,False
dilepton,12,0.01,6.944444444444444e-05,True
dilepton,12,0.03,0.00020833333333333332,True
dilepton,12,0.1,0.0006944444444444445,True
dilepton,12,0.3,0.0020833333333333333,False
dilepton,12,1.0,0.006944444444444444,False
dilepton,15,0.01,4.4444444444444447e-05,True
dilepton,15,0.03,0.00013333333333333334,True
dilepton,15,0.1,0.00044444444444444447,True
dilepton,15,0.3,0.0013333333333333333,True
dilepton,15,1.0,0.0044444444444444444,False
dilepton,20,0.01,2.5e-05,True
dilepton,20,0.03,7.5e-05,True
dilepton,20,0.1,0.00025,True
dilepton,20,0.3,0.00075,True
dilepton,20,1.0,0.0025,False
dilepton,25,0.01,1.6e-05,True
dilepton,25,0.03,4.8e-05,True
dilepton,25,0.1,0.00016,True
dilepton,25,0.3,0.00047999999999999996,True
dilepton,25,1.0,0.0016,True
dilepton,30,0.01,1.1111111111111112e-05,True
dilepton,30,0.03,3.3333333333333335e-05,True
dilepton,30,0.1,0.00011111111111111112,True
dilepton,30,0.3,0.0003333333333333333,True
dilepton,30,1.0,0.0011111111111111111,True
dijet,10,0.01,0.0001,True
dijet,10,0.03,0.0003,True
dijet,10,0.1,0.001,True
dijet,10,0.3,0.003,False
dijet,10,1.0,0.01,False
dijet,12,0.01,6.944444444444444e-05,True
dijet,12,0.03,0.00020833333333333332,True
dijet,12,0.1,0.0006944444444444445,True
dijet,12,0.3,0.0020833333333333333,False
dijet,12,1.0,0.006944444444444444,False
dijet,15,0.01,4.4444444444444447e-05,True
dijet,15,0.03,0.00013333333333333334,True
dijet,15,0.1,0.00044444444444444447,True
dijet,15,0.3,0.0013333333333333333,False
dijet,15,1.0,0.0044444444444444444,False
dijet,20,0.01,2.5e-05,True
dijet,20,0.03,7.5e-05,True
dijet,20,0.1,0.00025,True
dijet,20,0.3,0.00075,True
dijet,20,1.0,0.0025,False
dijet,25,0.01,1.6e-05,True
dijet,25,0.03,4.8e-05,True
dijet,25,0.1,0.00016,True
dijet,25,0.3,0.00047999999999999996,True
dijet,25,1.0,0.0016,False
dijet,30,0.01,1.1111111111111112e-05,True
dijet,30,0.03,3.3333333333333335e-05,True
dijet,30,0.1,0.00011111111111111112,True
dijet,30,0.3,0.0003333333333333333,True
dijet,30,1.0,0.0011111111111111111,True
