#: table_doi: 10.17182/hepdata.60099.v1/t1
#: name: Table 1
#: description: The pseudorapidity density of charged particles in the lab. frame.

#: data_file: Table1.yaml
#: keyword reactions: P PB --> CHARGED X
#: keyword observables: DN/DETARAP
#: keyword phrases: Inclusive | Single Differential Distribution
#: keyword cmenergies: 5020.0
#: RE,,,P PB --> CHARGED X
#: SQRT(S)/NUCLEON [GeV],,,5020.0
ETARAP(C=LAB),ETARAP(C=LAB) LOW,ETARAP(C=LAB) HIGH,D(N)/DETARAP,stat +,stat -,sys +,sys -
-1.95,-2.0,-1.9,16.59,0.178,-0.178,0.65,-0.65
-1.85,-1.9,-1.8,16.715,0.109,-0.109,0.654,-0.654
-1.75,-1.8,-1.7,17.061,0.083,-0.083,0.665,-0.665
-1.65,-1.7,-1.6,17.157,0.066,-0.066,0.667,-0.667
-1.55,-1.6,-1.5,17.267,0.054,-0.054,0.67,-0.67
-1.45,-1.5,-1.4,17.4,0.047,-0.047,0.674,-0.674
-1.35,-1.4,-1.3,17.595,0.044,-0.044,0.681,-0.681
-1.25,-1.3,-1.2,17.632,0.039,-0.039,0.682,-0.682
-1.15,-1.2,-1.1,17.681,0.037,-0.037,0.683,-0.683
-1.05,-1.1,-1.0,17.607,0.035,-0.035,0.68,-0.68
-0.95,-1.0,-0.9,17.545,0.033,-0.033,0.677,-0.677
-0.8500000000000001,-0.9,-0.8,17.519,0.032,-0.032,0.676,-0.676
-0.75,-0.8,-0.7,17.445,0.032,-0.032,0.673,-0.673
-0.6499999999999999,-0.7,-0.6,17.348,0.031,-0.031,0.669,-0.669
-0.55,-0.6,-0.5,17.253,0.03,-0.03,0.665,-0.665
-0.45,-0.5,-0.4,17.195,0.03,-0.03,0.663,-0.663
-0.35,-0.4,-0.3,17.16,0.03,-0.03,0.661,-0.661
-0.25,-0.3,-0.2,17.123,0.029,-0.029,0.659,-0.659
-0.15000000000000002,-0.2,-0.1,17.174,0.029,-0.029,0.661,-0.661
-0.05,-0.1,0.0,17.173,0.029,-0.029,0.661,-0.661
0.05,0.0,0.1,17.299,0.029,-0.029,0.666,-0.666
0.15000000000000002,0.1,0.2,17.359,0.029,-0.029,0.669,-0.669
0.25,0.2,0.3,17.509,0.029,-0.029,0.674,-0.674
0.35,0.3,0.4,17.655,0.03,-0.03,0.68,-0.68
0.45,0.4,0.5,17.891,0.03,-0.03,0.689,-0.689
0.55,0.5,0.6,18.031,0.03,-0.03,0.695,-0.695
0.6499999999999999,0.6,0.7,18.195,0.031,-0.031,0.701,-0.701
0.75,0.7,0.8,18.424,0.031,-0.031,0.71,-0.71
0.8500000000000001,0.8,0.9,18.629,0.032,-0.032,0.718,-0.718
0.95,0.9,1.0,18.811,0.033,-0.033,0.726,-0.726
1.05,1.0,1.1,19.05,0.034,-0.034,0.735,-0.735
1.15,1.1,1.2,19.229,0.036,-0.036,0.743,-0.743
1.25,1.2,1.3,19.385,0.037,-0.037,0.75,-0.75
1.35,1.3,1.4,19.609,0.041,-0.041,0.759,-0.759
1.45,1.4,1.5,19.703,0.043,-0.043,0.764,-0.764
1.55,1.5,1.6,19.852,0.049,-0.049,0.771,-0.771
1.65,1.6,1.7,19.816,0.058,-0.058,0.771,-0.771
1.75,1.7,1.8,19.866,0.071,-0.071,0.776,-0.776
1.85,1.8,1.9,19.901,0.091,-0.091,0.781,-0.781
1.95,1.9,2.0,19.709,0.141,-0.141,0.776,-0.776

