#: table_doi: 10.17182/hepdata.77284.v1/t1
#: name: Table 1
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class I (pp at $\sqrt{s}=7$ TeV).
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class I
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.2349,0.02708,-0.02708,0.01346,-0.01346,0.00628,-0.00628
0.15,0.1,0.2,0.6653,0.01412,-0.01412,0.03386,-0.03386,0.01604,-0.01604
0.25,0.2,0.3,0.967,0.0136,-0.0136,0.04643,-0.04643,0.02224,-0.02224
0.35,0.3,0.4,1.119,0.01314,-0.01314,0.05472,-0.05472,0.02619,-0.02619
0.45,0.4,0.5,1.164,0.01179,-0.01179,0.05734,-0.05734,0.02736,-0.02736
0.55,0.5,0.6,1.159,0.01033,-0.01033,0.05738,-0.05738,0.02629,-0.02629
0.65,0.6,0.7,1.045,0.008752,-0.008752,0.05204,-0.05204,0.02383,-0.02383
0.75,0.7,0.8,0.9546,0.00758,-0.00758,0.04821,-0.04821,0.02203,-0.02203
0.85,0.8,0.9,0.8315,0.006576,-0.006576,0.04301,-0.04301,0.01959,-0.01959
0.95,0.9,1.0,0.7168,0.005794,-0.005794,0.03713,-0.03713,0.0169,-0.0169
1.05,1.0,1.1,0.6281,0.0052,-0.0052,0.03279,-0.03279,0.01454,-0.01454
1.15,1.1,1.2,0.5361,0.004644,-0.004644,0.02819,-0.02819,0.01248,-0.01248
1.25,1.2,1.3,0.4515,0.004199,-0.004199,0.02415,-0.02415,0.01068,-0.01068
1.35,1.3,1.4,0.3969,0.003889,-0.003889,0.0216,-0.0216,0.009509,-0.009509
1.45,1.4,1.5,0.3318,0.003514,-0.003514,0.01796,-0.01796,0.007917,-0.007917
1.55,1.5,1.6,0.2937,0.003276,-0.003276,0.01608,-0.01608,0.007095,-0.007095
1.65,1.6,1.7,0.2483,0.002984,-0.002984,0.01378,-0.01378,0.006045,-0.006045
1.75,1.7,1.8,0.2133,0.002716,-0.002716,0.01223,-0.01223,0.00533,-0.00533
1.85,1.8,1.9,0.1799,0.002484,-0.002484,0.01043,-0.01043,0.004564,-0.004564
1.95,1.9,2.0,0.1572,0.002297,-0.002297,0.009225,-0.009225,0.004009,-0.004009
2.1,2.0,2.2,0.1242,0.001442,-0.001442,0.007568,-0.007568,0.002979,-0.002979
2.3,2.2,2.4,0.09262,0.001229,-0.001229,0.005878,-0.005878,0.002297,-0.002297
2.5,2.4,2.6,0.07129,0.001071,-0.001071,0.004847,-0.004847,0.001871,-0.001871
2.7,2.6,2.8,0.05157,0.0009196,-0.0009196,0.003584,-0.003584,0.001387,-0.001387
2.9,2.8,3.0,0.04066,0.0008054,-0.0008054,0.002883,-0.002883,0.00111,-0.00111
3.15,3.0,3.3,0.02839,0.0005455,-0.0005455,0.002064,-0.002064,0.0007993,-0.0007993
3.45,3.3,3.6,0.02005,0.0004556,-0.0004556,0.001453,-0.001453,0.0005625,-0.0005625
3.75,3.6,3.9,0.01385,0.0003833,-0.0003833,0.0009903,-0.0009903,0.0003606,-0.0003606
4.05,3.9,4.2,0.009988,0.0003153,-0.0003153,0.0007125,-0.0007125,0.0002567,-0.0002567
4.4,4.2,4.6,0.006921,0.000228,-0.000228,0.0005226,-0.0005226,0.0001869,-0.0001869
4.8,4.6,5.0,0.004371,0.0001873,-0.0001873,0.0003268,-0.0003268,0.000117,-0.000117
5.2,5.0,5.4,0.00306,0.0001531,-0.0001531,0.0002414,-0.0002414,8.591e-05,-8.591e-05
5.65,5.4,5.9,0.002146,0.0001138,-0.0001138,0.0001386,-0.0001386,7.389e-05,-7.389e-05
6.2,5.9,6.5,0.001336,8.248e-05,-8.248e-05,9.337e-05,-9.337e-05,4.954e-05,-4.954e-05
6.75,6.5,7.0,0.0008671,7.324e-05,-7.324e-05,5.937e-05,-5.937e-05,3.154e-05,-3.154e-05
7.5,7.0,8.0,0.0005507,4.106e-05,-4.106e-05,3.375e-05,-3.375e-05,1.805e-05,-1.805e-05
9.0,8.0,10.0,0.0002293,1.954e-05,-1.954e-05,1.623e-05,-1.623e-05,1.197e-05,-1.197e-05
11.0,10.0,12.0,8.98e-05,1.27e-05,-1.27e-05,5.747e-06,-5.747e-06,4.246e-06,-4.246e-06

