#: table_doi: 10.17182/hepdata.77284.v1/t10
#: name: Table 10
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class X (pp at $\sqrt{s}=7$ TeV).
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class X
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.04443,0.002135,-0.002135,0.004133,-0.004133,0.003466,-0.003466
0.15,0.1,0.2,0.1248,0.001141,-0.001141,0.01135,-0.01135,0.009877,-0.009877
0.25,0.2,0.3,0.1669,0.001038,-0.001038,0.01504,-0.01504,0.01329,-0.01329
0.35,0.3,0.4,0.1791,0.0009637,-0.0009637,0.01598,-0.01598,0.01401,-0.01401
0.45,0.4,0.5,0.1646,0.0008099,-0.0008099,0.01451,-0.01451,0.01264,-0.01264
0.55,0.5,0.6,0.1366,0.0006449,-0.0006449,0.01173,-0.01173,0.01008,-0.01008
0.65,0.6,0.7,0.1092,0.0005122,-0.0005122,0.009043,-0.009043,0.007644,-0.007644
0.75,0.7,0.8,0.08437,0.0004084,-0.0004084,0.006692,-0.006692,0.005515,-0.005515
0.85,0.8,0.9,0.06483,0.0003321,-0.0003321,0.004996,-0.004996,0.004005,-0.004005
0.95,0.9,1.0,0.04935,0.0002723,-0.0002723,0.003683,-0.003683,0.002896,-0.002896
1.05,1.0,1.1,0.03766,0.0002273,-0.0002273,0.002713,-0.002713,0.002063,-0.002063
1.15,1.1,1.2,0.02849,0.0001899,-0.0001899,0.002032,-0.002032,0.001524,-0.001524
1.25,1.2,1.3,0.02229,0.0001636,-0.0001636,0.00159,-0.00159,0.001177,-0.001177
1.35,1.3,1.4,0.01728,0.0001417,-0.0001417,0.001238,-0.001238,0.0009055,-0.0009055
1.45,1.4,1.5,0.01373,0.0001237,-0.0001237,0.0009744,-0.0009744,0.0007103,-0.0007103
1.55,1.5,1.6,0.01109,0.0001089,-0.0001089,0.0007932,-0.0007932,0.0005764,-0.0005764
1.65,1.6,1.7,0.008804,9.576e-05,-9.576e-05,0.0006337,-0.0006337,0.0004573,-0.0004573
1.75,1.7,1.8,0.007108,8.45e-05,-8.45e-05,0.0005215,-0.0005215,0.0003708,-0.0003708
1.85,1.8,1.9,0.005901,7.606e-05,-7.606e-05,0.0004356,-0.0004356,0.0003084,-0.0003084
1.95,1.9,2.0,0.004821,6.801e-05,-6.801e-05,0.0003609,-0.0003609,0.0002557,-0.0002557
2.1,2.0,2.2,0.003561,4.103e-05,-4.103e-05,0.0002697,-0.0002697,0.0001816,-0.0001816
2.3,2.2,2.4,0.002449,3.353e-05,-3.353e-05,0.000192,-0.000192,0.0001281,-0.0001281
2.5,2.4,2.6,0.001699,2.77e-05,-2.77e-05,0.0001374,-0.0001374,8.679e-05,-8.679e-05
2.7,2.6,2.8,0.001254,2.365e-05,-2.365e-05,0.0001035,-0.0001035,6.53e-05,-6.53e-05
2.9,2.8,3.0,0.0008924,1.979e-05,-1.979e-05,7.512e-05,-7.512e-05,4.724e-05,-4.724e-05
3.15,3.0,3.3,0.0006354,1.346e-05,-1.346e-05,5.407e-05,-5.407e-05,3.331e-05,-3.331e-05
3.45,3.3,3.6,0.0004031,1.064e-05,-1.064e-05,3.403e-05,-3.403e-05,2.078e-05,-2.078e-05
3.75,3.6,3.9,0.0002559,8.48e-06,-8.48e-06,2.133e-05,-2.133e-05,1.283e-05,-1.283e-05
4.05,3.9,4.2,0.0001875,7.162e-06,-7.162e-06,1.557e-05,-1.557e-05,9.322e-06,-9.322e-06
4.4,4.2,4.6,0.0001235,5.076e-06,-5.076e-06,1.085e-05,-1.085e-05,6.47e-06,-6.47e-06
4.8,4.6,5.0,7.399e-05,4.02e-06,-4.02e-06,6.393e-06,-6.393e-06,3.767e-06,-3.767e-06
5.2,5.0,5.4,4.874e-05,3.246e-06,-3.246e-06,4.367e-06,-4.367e-06,2.481e-06,-2.481e-06
5.65,5.4,5.9,2.985e-05,2.342e-06,-2.342e-06,2.273e-06,-2.273e-06,1.583e-06,-1.583e-06
6.2,5.9,6.5,2.234e-05,1.764e-06,-1.764e-06,1.779e-06,-1.779e-06,1.189e-06,-1.189e-06
6.75,6.5,7.0,1.105e-05,1.539e-06,-1.539e-06,8.552e-07,-8.552e-07,5.661e-07,-5.661e-07
7.5,7.0,8.0,8.123e-06,8.416e-07,-8.416e-07,5.837e-07,-5.837e-07,4.047e-07,-4.047e-07
9.0,8.0,10.0,3.686e-06,4.29e-07,-4.29e-07,2.843e-07,-2.843e-07,2.231e-07,-2.231e-07
11.0,10.0,12.0,4.91e-07,1.93e-07,-1.93e-07,3.797e-08,-3.797e-08,3.152e-08,-3.152e-08

