#: table_doi: 10.17182/hepdata.77284.v1/t11
#: name: Table 11
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class I (pp at $\sqrt{s}=7$ TeV).
#: data_file: data11.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class I
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.4016,0.008632,-0.008632,0.02352,-0.02352,0.009305,-0.009305
0.7,0.6,0.8,0.456,0.005629,-0.005629,0.02679,-0.02679,0.01063,-0.01063
0.9,0.8,1.0,0.4562,0.004726,-0.004726,0.02517,-0.02517,0.01011,-0.01011
1.1,1.0,1.2,0.419,0.004283,-0.004283,0.02379,-0.02379,0.009572,-0.009572
1.3,1.2,1.4,0.3663,0.003897,-0.003897,0.0258,-0.0258,0.01011,-0.01011
1.5,1.4,1.6,0.3075,0.003424,-0.003424,0.01953,-0.01953,0.007748,-0.007748
1.7,1.6,1.8,0.2427,0.002899,-0.002899,0.01515,-0.01515,0.006032,-0.006032
1.9,1.8,2.0,0.1977,0.002524,-0.002524,0.01325,-0.01325,0.005218,-0.005218
2.1,2.0,2.2,0.1474,0.00213,-0.00213,0.01055,-0.01055,0.004136,-0.004136
2.35,2.2,2.5,0.107,0.001439,-0.001439,0.008319,-0.008319,0.003222,-0.003222
2.7,2.5,2.9,0.06502,0.000958,-0.000958,0.0053,-0.0053,0.001717,-0.001717
3.15,2.9,3.4,0.03541,0.0006249,-0.0006249,0.002768,-0.002768,0.0008984,-0.0008984
3.7,3.4,4.0,0.01563,0.0003796,-0.0003796,0.001291,-0.001291,0.0004159,-0.0004159
4.5,4.0,5.0,0.00579,0.0001763,-0.0001763,0.0004639,-0.0004639,0.00015,-0.00015
5.75,5.0,6.5,0.001652,7.482e-05,-7.482e-05,0.0001292,-0.0001292,6.198e-05,-6.198e-05
7.25,6.5,8.0,0.0003892,3.75e-05,-3.75e-05,4.381e-05,-4.381e-05,2.07e-05,-2.07e-05

