#: table_doi: 10.17182/hepdata.77284.v1/t12
#: name: Table 12
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class II (pp at $\sqrt{s}=7$ TeV).
#: data_file: data12.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class II
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.3552,0.004317,-0.004317,0.02081,-0.02081,0.008258,-0.008258
0.7,0.6,0.8,0.383,0.002795,-0.002795,0.02249,-0.02249,0.008895,-0.008895
0.9,0.8,1.0,0.3677,0.00235,-0.00235,0.02029,-0.02029,0.008142,-0.008142
1.1,1.0,1.2,0.3283,0.00212,-0.00212,0.01864,-0.01864,0.007517,-0.007517
1.3,1.2,1.4,0.2775,0.001914,-0.001914,0.01955,-0.01955,0.007661,-0.007661
1.5,1.4,1.6,0.2249,0.001668,-0.001668,0.01428,-0.01428,0.005654,-0.005654
1.7,1.6,1.8,0.1782,0.001421,-0.001421,0.01112,-0.01112,0.004419,-0.004419
1.9,1.8,2.0,0.137,0.001213,-0.001213,0.009183,-0.009183,0.003612,-0.003612
2.1,2.0,2.2,0.103,0.001029,-0.001029,0.007368,-0.007368,0.002881,-0.002881
2.35,2.2,2.5,0.07191,0.0006859,-0.0006859,0.005592,-0.005592,0.00217,-0.00217
2.7,2.5,2.9,0.04302,0.0004492,-0.0004492,0.003506,-0.003506,0.001131,-0.001131
3.15,2.9,3.4,0.02219,0.0002847,-0.0002847,0.001735,-0.001735,0.0005629,-0.0005629
3.7,3.4,4.0,0.0103,0.0001741,-0.0001741,0.0008514,-0.0008514,0.0002756,-0.0002756
4.5,4.0,5.0,0.003629,7.71e-05,-7.71e-05,0.0002908,-0.0002908,9.405e-05,-9.405e-05
5.75,5.0,6.5,0.0009534,3.091e-05,-3.091e-05,7.459e-05,-7.459e-05,3.577e-05,-3.577e-05
7.25,6.5,8.0,0.0002627,1.63e-05,-1.63e-05,2.957e-05,-2.957e-05,1.398e-05,-1.398e-05

