#: table_doi: 10.17182/hepdata.77284.v1/t13
#: name: Table 13
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class III (pp at $\sqrt{s}=7$ TeV).
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class III
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.3128,0.003645,-0.003645,0.01835,-0.01835,0.007318,-0.007318
0.7,0.6,0.8,0.3294,0.002336,-0.002336,0.01937,-0.01937,0.007718,-0.007718
0.9,0.8,1.0,0.3025,0.001919,-0.001919,0.01669,-0.01669,0.006708,-0.006708
1.1,1.0,1.2,0.2666,0.001709,-0.001709,0.01515,-0.01515,0.006123,-0.006123
1.3,1.2,1.4,0.2176,0.001504,-0.001504,0.01532,-0.01532,0.006,-0.006
1.5,1.4,1.6,0.1742,0.0013,-0.0013,0.01106,-0.01106,0.004392,-0.004392
1.7,1.6,1.8,0.1318,0.001078,-0.001078,0.008231,-0.008231,0.003281,-0.003281
1.9,1.8,2.0,0.1009,0.0009125,-0.0009125,0.00677,-0.00677,0.002673,-0.002673
2.1,2.0,2.2,0.07478,0.0007644,-0.0007644,0.00535,-0.00535,0.002088,-0.002088
2.35,2.2,2.5,0.05166,0.0005045,-0.0005045,0.004015,-0.004015,0.001554,-0.001554
2.7,2.5,2.9,0.03038,0.0003261,-0.0003261,0.002476,-0.002476,0.0008001,-0.0008001
3.15,2.9,3.4,0.01536,0.0002045,-0.0002045,0.001202,-0.001202,0.0003915,-0.0003915
3.7,3.4,4.0,0.00702,0.0001231,-0.0001231,0.0005799,-0.0005799,0.0001871,-0.0001871
4.5,4.0,5.0,0.002479,5.476e-05,-5.476e-05,0.0001987,-0.0001987,6.455e-05,-6.455e-05
5.75,5.0,6.5,0.0006548,2.222e-05,-2.222e-05,5.123e-05,-5.123e-05,2.457e-05,-2.457e-05
7.25,6.5,8.0,0.0001691,1.132e-05,-1.132e-05,1.903e-05,-1.903e-05,8.996e-06,-8.996e-06

