#: table_doi: 10.17182/hepdata.77284.v1/t14
#: name: Table 14
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class IV (pp at $\sqrt{s}=7$ TeV).
#: data_file: data14.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IV
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.2765,0.003355,-0.003355,0.01624,-0.01624,0.006524,-0.006524
0.7,0.6,0.8,0.2924,0.002149,-0.002149,0.0172,-0.0172,0.006879,-0.006879
0.9,0.8,1.0,0.2651,0.001743,-0.001743,0.01465,-0.01465,0.005924,-0.005924
1.1,1.0,1.2,0.2227,0.00151,-0.00151,0.01267,-0.01267,0.005143,-0.005143
1.3,1.2,1.4,0.179,0.001317,-0.001317,0.01261,-0.01261,0.004953,-0.004953
1.5,1.4,1.6,0.1424,0.001128,-0.001128,0.009047,-0.009047,0.003596,-0.003596
1.7,1.6,1.8,0.1064,0.0009281,-0.0009281,0.006643,-0.006643,0.002644,-0.002644
1.9,1.8,2.0,0.07995,0.0007762,-0.0007762,0.005364,-0.005364,0.002119,-0.002119
2.1,2.0,2.2,0.05793,0.000642,-0.000642,0.004146,-0.004146,0.001623,-0.001623
2.35,2.2,2.5,0.03949,0.0004201,-0.0004201,0.00307,-0.00307,0.001189,-0.001189
2.7,2.5,2.9,0.02248,0.0002669,-0.0002669,0.001833,-0.001833,0.0005948,-0.0005948
3.15,2.9,3.4,0.01178,0.0001702,-0.0001702,0.0009213,-0.0009213,0.0003008,-0.0003008
3.7,3.4,4.0,0.005013,9.982e-05,-9.982e-05,0.000414,-0.000414,0.0001334,-0.0001334
4.5,4.0,5.0,0.001842,4.556e-05,-4.556e-05,0.0001476,-0.0001476,4.783e-05,-4.783e-05
5.75,5.0,6.5,0.0004821,1.858e-05,-1.858e-05,3.772e-05,-3.772e-05,1.809e-05,-1.809e-05
7.25,6.5,8.0,0.0001294,9.826e-06,-9.826e-06,1.458e-05,-1.458e-05,6.905e-06,-6.905e-06

