#: table_doi: 10.17182/hepdata.77284.v1/t15
#: name: Table 15
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class V (pp at $\sqrt{s}=7$ TeV).
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class V
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.2553,0.003175,-0.003175,0.01501,-0.01501,0.006067,-0.006067
0.7,0.6,0.8,0.2623,0.001998,-0.001998,0.01544,-0.01544,0.006197,-0.006197
0.9,0.8,1.0,0.2346,0.001604,-0.001604,0.01298,-0.01298,0.005291,-0.005291
1.1,1.0,1.2,0.1927,0.001369,-0.001369,0.01096,-0.01096,0.004465,-0.004465
1.3,1.2,1.4,0.1534,0.001182,-0.001182,0.01082,-0.01082,0.004268,-0.004268
1.5,1.4,1.6,0.1163,0.0009878,-0.0009878,0.007391,-0.007391,0.002947,-0.002947
1.7,1.6,1.8,0.08916,0.0008186,-0.0008186,0.00557,-0.00557,0.002229,-0.002229
1.9,1.8,2.0,0.0651,0.0006747,-0.0006747,0.004368,-0.004368,0.001727,-0.001727
2.1,2.0,2.2,0.04714,0.0005553,-0.0005553,0.003375,-0.003375,0.001323,-0.001323
2.35,2.2,2.5,0.0319,0.0003629,-0.0003629,0.002481,-0.002481,0.0009629,-0.0009629
2.7,2.5,2.9,0.0181,0.0002301,-0.0002301,0.001476,-0.001476,0.0004788,-0.0004788
3.15,2.9,3.4,0.009196,0.0001447,-0.0001447,0.0007197,-0.0007197,0.0002354,-0.0002354
3.7,3.4,4.0,0.003958,8.527e-05,-8.527e-05,0.0003271,-0.0003271,0.0001061,-0.0001061
4.5,4.0,5.0,0.001355,3.81e-05,-3.81e-05,0.0001086,-0.0001086,3.512e-05,-3.512e-05
5.75,5.0,6.5,0.0003709,1.578e-05,-1.578e-05,2.908e-05,-2.908e-05,1.403e-05,-1.403e-05
7.25,6.5,8.0,9.242e-05,8.082e-06,-8.082e-06,1.041e-05,-1.041e-05,4.936e-06,-4.936e-06

