#: table_doi: 10.17182/hepdata.77284.v1/t16
#: name: Table 16
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class VI (pp at $\sqrt{s}=7$ TeV).
#: data_file: data16.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VI
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.224,0.00222,-0.00222,0.01325,-0.01325,0.005536,-0.005536
0.7,0.6,0.8,0.2251,0.001401,-0.001401,0.01332,-0.01332,0.005482,-0.005482
0.9,0.8,1.0,0.196,0.001115,-0.001115,0.01089,-0.01089,0.004519,-0.004519
1.1,1.0,1.2,0.1584,0.0009443,-0.0009443,0.009043,-0.009043,0.003744,-0.003744
1.3,1.2,1.4,0.1226,0.0008032,-0.0008032,0.008659,-0.008659,0.003446,-0.003446
1.5,1.4,1.6,0.0929,0.0006694,-0.0006694,0.005917,-0.005917,0.002386,-0.002386
1.7,1.6,1.8,0.0678,0.000542,-0.000542,0.004242,-0.004242,0.001712,-0.001712
1.9,1.8,2.0,0.05016,0.0004483,-0.0004483,0.003372,-0.003372,0.001347,-0.001347
2.1,2.0,2.2,0.03489,0.0003614,-0.0003614,0.002501,-0.002501,0.0009874,-0.0009874
2.35,2.2,2.5,0.02365,0.0002354,-0.0002354,0.001841,-0.001841,0.0007189,-0.0007189
2.7,2.5,2.9,0.01331,0.000148,-0.000148,0.001086,-0.001086,0.0003556,-0.0003556
3.15,2.9,3.4,0.006425,8.992e-05,-8.992e-05,0.0005031,-0.0005031,0.0001654,-0.0001654
3.7,3.4,4.0,0.002739,5.258e-05,-5.258e-05,0.0002264,-0.0002264,7.359e-05,-7.359e-05
4.5,4.0,5.0,0.001033,2.432e-05,-2.432e-05,8.289e-05,-8.289e-05,2.719e-05,-2.719e-05
5.75,5.0,6.5,0.0002357,9.354e-06,-9.354e-06,1.847e-05,-1.847e-05,8.902e-06,-8.902e-06
7.25,6.5,8.0,6.989e-05,5.009e-06,-5.009e-06,7.87e-06,-7.87e-06,3.723e-06,-3.723e-06

