#: table_doi: 10.17182/hepdata.77284.v1/t17
#: name: Table 17
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class VII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data17.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VII
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.1883,0.001982,-0.001982,0.01124,-0.01124,0.004889,-0.004889
0.7,0.6,0.8,0.1846,0.001226,-0.001226,0.01098,-0.01098,0.004644,-0.004644
0.9,0.8,1.0,0.1571,0.0009573,-0.0009573,0.008754,-0.008754,0.00369,-0.00369
1.1,1.0,1.2,0.1221,0.0007899,-0.0007899,0.006997,-0.006997,0.002946,-0.002946
1.3,1.2,1.4,0.09224,0.0006597,-0.0006597,0.006525,-0.006525,0.002616,-0.002616
1.5,1.4,1.6,0.06744,0.0005397,-0.0005397,0.004306,-0.004306,0.001758,-0.001758
1.7,1.6,1.8,0.04801,0.00043,-0.00043,0.00301,-0.00301,0.001226,-0.001226
1.9,1.8,2.0,0.03436,0.0003502,-0.0003502,0.00232,-0.00232,0.0009484,-0.0009484
2.1,2.0,2.2,0.02379,0.0002813,-0.0002813,0.001712,-0.001712,0.0006896,-0.0006896
2.35,2.2,2.5,0.01572,0.0001799,-0.0001799,0.001226,-0.001226,0.0004852,-0.0004852
2.7,2.5,2.9,0.008913,0.0001132,-0.0001132,0.0007289,-0.0007289,0.0002421,-0.0002421
3.15,2.9,3.4,0.00425,6.871e-05,-6.871e-05,0.0003332,-0.0003332,0.0001105,-0.0001105
3.7,3.4,4.0,0.001814,4.042e-05,-4.042e-05,0.0001504,-0.0001504,5.014e-05,-5.014e-05
4.5,4.0,5.0,0.0006532,1.831e-05,-1.831e-05,5.254e-05,-5.254e-05,1.756e-05,-1.756e-05
5.75,5.0,6.5,0.0001569,7.282e-06,-7.282e-06,1.232e-05,-1.232e-05,5.986e-06,-5.986e-06
7.25,6.5,8.0,4.713e-05,3.999e-06,-3.999e-06,5.305e-06,-5.305e-06,2.507e-06,-2.507e-06

