#: table_doi: 10.17182/hepdata.77284.v1/t18
#: name: Table 18
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class VIII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VIII
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.1609,0.001777,-0.001777,0.0099,-0.0099,0.004813,-0.004813
0.7,0.6,0.8,0.1479,0.001056,-0.001056,0.008998,-0.008998,0.004162,-0.004162
0.9,0.8,1.0,0.1213,0.0008027,-0.0008027,0.006874,-0.006874,0.003108,-0.003108
1.1,1.0,1.2,0.09439,0.0006578,-0.0006578,0.005467,-0.005467,0.002412,-0.002412
1.3,1.2,1.4,0.06747,0.0005335,-0.0005335,0.004802,-0.004802,0.001985,-0.001985
1.5,1.4,1.6,0.04783,0.0004286,-0.0004286,0.003077,-0.003077,0.001302,-0.001302
1.7,1.6,1.8,0.03371,0.0003382,-0.0003382,0.00213,-0.00213,0.0009023,-0.0009023
1.9,1.8,2.0,0.02348,0.0002715,-0.0002715,0.001589,-0.001589,0.0006575,-0.0006575
2.1,2.0,2.2,0.01624,0.000218,-0.000218,0.001174,-0.001174,0.0004836,-0.0004836
2.35,2.2,2.5,0.01079,0.0001399,-0.0001399,0.0008454,-0.0008454,0.0003415,-0.0003415
2.7,2.5,2.9,0.005811,8.645e-05,-8.645e-05,0.0004761,-0.0004761,0.0001606,-0.0001606
3.15,2.9,3.4,0.002807,5.262e-05,-5.262e-05,0.0002208,-0.0002208,7.535e-05,-7.535e-05
3.7,3.4,4.0,0.001159,3.06e-05,-3.06e-05,9.618e-05,-9.618e-05,3.231e-05,-3.231e-05
4.5,4.0,5.0,0.0004247,1.406e-05,-1.406e-05,3.422e-05,-3.422e-05,1.157e-05,-1.157e-05
5.75,5.0,6.5,0.0001113,5.853e-06,-5.853e-06,8.751e-06,-8.751e-06,4.26e-06,-4.26e-06
7.25,6.5,8.0,2.395e-05,2.779e-06,-2.779e-06,2.701e-06,-2.701e-06,1.284e-06,-1.284e-06

