#: table_doi: 10.17182/hepdata.77284.v1/t19
#: name: Table 19
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class IX (pp at $\sqrt{s}=7$ TeV).
#: data_file: data19.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IX
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.1173,0.001116,-0.001116,0.008441,-0.008441,0.005609,-0.005609
0.7,0.6,0.8,0.1053,0.000656,-0.000656,0.007223,-0.007223,0.004461,-0.004461
0.9,0.8,1.0,0.0825,0.0004852,-0.0004852,0.005257,-0.005257,0.003201,-0.003201
1.1,1.0,1.2,0.05997,0.0003812,-0.0003812,0.003818,-0.003818,0.002206,-0.002206
1.3,1.2,1.4,0.04148,0.0003016,-0.0003016,0.003137,-0.003137,0.001617,-0.001617
1.5,1.4,1.6,0.02901,0.0002389,-0.0002389,0.001998,-0.001998,0.001064,-0.001064
1.7,1.6,1.8,0.01996,0.0001862,-0.0001862,0.001357,-0.001357,0.0007321,-0.0007321
1.9,1.8,2.0,0.01339,0.000145,-0.000145,0.0009601,-0.0009601,0.0004908,-0.0004908
2.1,2.0,2.2,0.009163,0.0001157,-0.0001157,0.0006991,-0.0006991,0.0003529,-0.0003529
2.35,2.2,2.5,0.005674,7.194e-05,-7.194e-05,0.0004664,-0.0004664,0.0002283,-0.0002283
2.7,2.5,2.9,0.003057,4.393e-05,-4.393e-05,0.0002608,-0.0002608,0.0001115,-0.0001115
3.15,2.9,3.4,0.001423,2.642e-05,-2.642e-05,0.0001174,-0.0001174,5.188e-05,-5.188e-05
3.7,3.4,4.0,0.0005829,1.531e-05,-1.531e-05,5.046e-05,-5.046e-05,2.166e-05,-2.166e-05
4.5,4.0,5.0,0.0001961,6.788e-06,-6.788e-06,1.649e-05,-1.649e-05,7.137e-06,-7.137e-06
5.75,5.0,6.5,4.836e-05,2.814e-06,-2.814e-06,3.935e-06,-3.935e-06,2.112e-06,-2.112e-06
7.25,6.5,8.0,1.613e-05,1.625e-06,-1.625e-06,1.869e-06,-1.869e-06,9.659e-07,-9.659e-07

