#: table_doi: 10.17182/hepdata.77284.v1/t2
#: name: Table 2
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class II (pp at $\sqrt{s}=7$ TeV).
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class II
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.2288,0.01352,-0.01352,0.01313,-0.01313,0.006143,-0.006143
0.15,0.1,0.2,0.5677,0.006706,-0.006706,0.02892,-0.02892,0.01374,-0.01374
0.25,0.2,0.3,0.8096,0.006401,-0.006401,0.03885,-0.03885,0.01857,-0.01857
0.35,0.3,0.4,0.9332,0.006188,-0.006188,0.04558,-0.04558,0.02176,-0.02176
0.45,0.4,0.5,0.9576,0.00555,-0.00555,0.04719,-0.04719,0.02252,-0.02252
0.55,0.5,0.6,0.9009,0.004744,-0.004744,0.04462,-0.04462,0.02046,-0.02046
0.65,0.6,0.7,0.8291,0.004074,-0.004074,0.04129,-0.04129,0.01894,-0.01894
0.75,0.7,0.8,0.7378,0.003525,-0.003525,0.03727,-0.03727,0.01705,-0.01705
0.85,0.8,0.9,0.6431,0.00308,-0.00308,0.03328,-0.03328,0.01517,-0.01517
0.95,0.9,1.0,0.5495,0.002708,-0.002708,0.02849,-0.02849,0.013,-0.013
1.05,1.0,1.1,0.4695,0.002415,-0.002415,0.02449,-0.02449,0.01082,-0.01082
1.15,1.1,1.2,0.3936,0.002155,-0.002155,0.02071,-0.02071,0.009179,-0.009179
1.25,1.2,1.3,0.3362,0.00196,-0.00196,0.01797,-0.01797,0.007929,-0.007929
1.35,1.3,1.4,0.2855,0.001785,-0.001785,0.01553,-0.01553,0.006825,-0.006825
1.45,1.4,1.5,0.2431,0.001631,-0.001631,0.01316,-0.01316,0.005798,-0.005798
1.55,1.5,1.6,0.207,0.001491,-0.001491,0.01132,-0.01132,0.00498,-0.00498
1.65,1.6,1.7,0.1781,0.001365,-0.001365,0.009881,-0.009881,0.004344,-0.004344
1.75,1.7,1.8,0.1515,0.001246,-0.001246,0.008688,-0.008688,0.003798,-0.003798
1.85,1.8,1.9,0.1281,0.001141,-0.001141,0.007425,-0.007425,0.003243,-0.003243
1.95,1.9,2.0,0.1105,0.001052,-0.001052,0.006488,-0.006488,0.002825,-0.002825
2.1,2.0,2.2,0.08684,0.0006568,-0.0006568,0.005287,-0.005287,0.002075,-0.002075
2.3,2.2,2.4,0.06437,0.0005597,-0.0005597,0.004081,-0.004081,0.001586,-0.001586
2.5,2.4,2.6,0.04785,0.000478,-0.000478,0.003253,-0.003253,0.001254,-0.001254
2.7,2.6,2.8,0.03591,0.0004157,-0.0004157,0.002493,-0.002493,0.0009596,-0.0009596
2.9,2.8,3.0,0.02775,0.0003605,-0.0003605,0.001966,-0.001966,0.0007526,-0.0007526
3.15,3.0,3.3,0.01939,0.000244,-0.000244,0.001406,-0.001406,0.000537,-0.000537
3.45,3.3,3.6,0.01357,0.0002029,-0.0002029,0.0009811,-0.0009811,0.0003748,-0.0003748
3.75,3.6,3.9,0.009494,0.0001688,-0.0001688,0.0006777,-0.0006777,0.0002442,-0.0002442
4.05,3.9,4.2,0.00644,0.0001379,-0.0001379,0.0004594,-0.0004594,0.0001655,-0.0001655
4.4,4.2,4.6,0.004521,0.0001003,-0.0001003,0.0003413,-0.0003413,0.0001221,-0.0001221
4.8,4.6,5.0,0.003081,8.264e-05,-8.264e-05,0.0002304,-0.0002304,8.251e-05,-8.251e-05
5.2,5.0,5.4,0.00203,6.681e-05,-6.681e-05,0.0001602,-0.0001602,5.7e-05,-5.7e-05
5.65,5.4,5.9,0.001404,4.918e-05,-4.918e-05,9.073e-05,-9.073e-05,4.836e-05,-4.836e-05
6.2,5.9,6.5,0.0009376,3.711e-05,-3.711e-05,6.554e-05,-6.554e-05,3.477e-05,-3.477e-05
6.75,6.5,7.0,0.0005809,3.248e-05,-3.248e-05,3.978e-05,-3.978e-05,2.113e-05,-2.113e-05
7.5,7.0,8.0,0.0003651,1.815e-05,-1.815e-05,2.237e-05,-2.237e-05,1.196e-05,-1.196e-05
9.0,8.0,10.0,0.0001663,8.74e-06,-8.74e-06,1.177e-05,-1.177e-05,8.678e-06,-8.678e-06
11.0,10.0,12.0,5.614e-05,5.311e-06,-5.311e-06,3.593e-06,-3.593e-06,2.654e-06,-2.654e-06

