#: table_doi: 10.17182/hepdata.77284.v1/t20
#: name: Table 20
#: description: $\Lambda+\bar{\Lambda}$ transverse momentum spectrum: V0M Class X (pp at $\sqrt{s}=7$ TeV).
#: data_file: data20.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class X
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.5,0.4,0.6,0.06211,0.0006323,-0.0006323,0.006459,-0.006459,0.005528,-0.005528
0.7,0.6,0.8,0.05162,0.0003507,-0.0003507,0.004791,-0.004791,0.003899,-0.003899
0.9,0.8,1.0,0.03588,0.0002395,-0.0002395,0.002933,-0.002933,0.002305,-0.002305
1.1,1.0,1.2,0.02358,0.0001773,-0.0001773,0.001846,-0.001846,0.001381,-0.001381
1.3,1.2,1.4,0.01518,0.0001348,-0.0001348,0.00131,-0.00131,0.0008647,-0.0008647
1.5,1.4,1.6,0.01005,0.0001036,-0.0001036,0.0008067,-0.0008067,0.0005549,-0.0005549
1.7,1.6,1.8,0.006204,7.639e-05,-7.639e-05,0.0004898,-0.0004898,0.0003372,-0.0003372
1.9,1.8,2.0,0.004195,5.973e-05,-5.973e-05,0.0003452,-0.0003452,0.0002287,-0.0002287
2.1,2.0,2.2,0.002687,4.643e-05,-4.643e-05,0.0002312,-0.0002312,0.0001488,-0.0001488
2.35,2.2,2.5,0.00162,2.823e-05,-2.823e-05,0.0001468,-0.0001468,8.991e-05,-8.991e-05
2.7,2.5,2.9,0.0008477,1.717e-05,-1.717e-05,7.918e-05,-7.918e-05,4.467e-05,-4.467e-05
3.15,2.9,3.4,0.0003706,1.014e-05,-1.014e-05,3.367e-05,-3.367e-05,1.956e-05,-1.956e-05
3.7,3.4,4.0,0.0001494,5.839e-06,-5.839e-06,1.403e-05,-1.403e-05,7.757e-06,-7.757e-06
4.5,4.0,5.0,4.935e-05,2.608e-06,-2.608e-06,4.516e-06,-4.516e-06,2.529e-06,-2.529e-06
5.75,5.0,6.5,1.256e-05,1.084e-06,-1.084e-06,1.121e-06,-1.121e-06,7.158e-07,-7.158e-07
7.25,6.5,8.0,4.254e-06,6.36e-07,-6.36e-07,5.046e-07,-5.046e-07,2.766e-07,-2.766e-07

