#: table_doi: 10.17182/hepdata.77284.v1/t21
#: name: Table 21
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class I (pp at $\sqrt{s}=7$ TeV).
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class I
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.0484,0.002813,-0.002813,0.002899,-0.002899,0.00145,-0.00145
1.1,1.0,1.2,0.05089,0.002544,-0.002544,0.002687,-0.002687,0.001341,-0.001341
1.3,1.2,1.4,0.04265,0.001964,-0.001964,0.002231,-0.002231,0.001109,-0.001109
1.5,1.4,1.6,0.03867,0.00165,-0.00165,0.002007,-0.002007,0.0009165,-0.0009165
1.7,1.6,1.8,0.03481,0.001361,-0.001361,0.001784,-0.001784,0.0008238,-0.0008238
1.9,1.8,2.0,0.02933,0.001112,-0.001112,0.001475,-0.001475,0.0006926,-0.0006926
2.1,2.0,2.2,0.02415,0.0009496,-0.0009496,0.00124,-0.00124,0.000573,-0.000573
2.35,2.2,2.5,0.01753,0.0006162,-0.0006162,0.0009422,-0.0009422,0.0004184,-0.0004184
2.7,2.5,2.9,0.01163,0.0004073,-0.0004073,0.0006052,-0.0006052,0.0002764,-0.0002764
3.15,2.9,3.4,0.006194,0.0002551,-0.0002551,0.0003213,-0.0003213,0.0001565,-0.0001565
3.7,3.4,4.0,0.003553,0.0001726,-0.0001726,0.000192,-0.000192,9.066e-05,-9.066e-05
4.5,4.0,5.0,0.001307,7.967e-05,-7.967e-05,8.128e-05,-8.128e-05,3.462e-05,-3.462e-05
5.75,5.0,6.5,0.0003175,3.233e-05,-3.233e-05,2.149e-05,-2.149e-05,8.638e-06,-8.638e-06

