#: table_doi: 10.17182/hepdata.77284.v1/t22
#: name: Table 22
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class II (pp at $\sqrt{s}=7$ TeV).
#: data_file: data22.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class II
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.03865,0.001327,-0.001327,0.002319,-0.002319,0.001167,-0.001167
1.1,1.0,1.2,0.03599,0.001135,-0.001135,0.001898,-0.001898,0.0009446,-0.0009446
1.3,1.2,1.4,0.03471,0.0009181,-0.0009181,0.001815,-0.001815,0.0009028,-0.0009028
1.5,1.4,1.6,0.03005,0.0007547,-0.0007547,0.00156,-0.00156,0.0007123,-0.0007123
1.7,1.6,1.8,0.02575,0.0006363,-0.0006363,0.00132,-0.00132,0.0006094,-0.0006094
1.9,1.8,2.0,0.01926,0.0004995,-0.0004995,0.0009723,-0.0009723,0.0004631,-0.0004631
2.1,2.0,2.2,0.01573,0.0004254,-0.0004254,0.0008076,-0.0008076,0.0003732,-0.0003732
2.35,2.2,2.5,0.01165,0.000282,-0.000282,0.0006288,-0.0006288,0.000284,-0.000284
2.7,2.5,2.9,0.0072,0.0001773,-0.0001773,0.0003747,-0.0003747,0.0001711,-0.0001711
3.15,2.9,3.4,0.004029,0.0001132,-0.0001132,0.0002104,-0.0002104,0.0001047,-0.0001047
3.7,3.4,4.0,0.002111,7.155e-05,-7.155e-05,0.000114,-0.000114,5.386e-05,-5.386e-05
4.5,4.0,5.0,0.0008026,3.292e-05,-3.292e-05,4.992e-05,-4.992e-05,2.126e-05,-2.126e-05
5.75,5.0,6.5,0.0001996,1.353e-05,-1.353e-05,1.35e-05,-1.35e-05,5.429e-06,-5.429e-06

