#: table_doi: 10.17182/hepdata.77284.v1/t23
#: name: Table 23
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class III (pp at $\sqrt{s}=7$ TeV).
#: data_file: data23.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class III
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.03552,0.001133,-0.001133,0.002131,-0.002131,0.001072,-0.001072
1.1,1.0,1.2,0.03143,0.0009333,-0.0009333,0.001659,-0.001659,0.0008268,-0.0008268
1.3,1.2,1.4,0.0282,0.0007298,-0.0007298,0.001478,-0.001478,0.0007401,-0.0007401
1.5,1.4,1.6,0.02353,0.0005849,-0.0005849,0.001225,-0.001225,0.0005669,-0.0005669
1.7,1.6,1.8,0.0198,0.0004866,-0.0004866,0.001016,-0.001016,0.0004724,-0.0004724
1.9,1.8,2.0,0.01407,0.0003722,-0.0003722,0.0007103,-0.0007103,0.0003377,-0.0003377
2.1,2.0,2.2,0.0111,0.0003086,-0.0003086,0.0005702,-0.0005702,0.0002635,-0.0002635
2.35,2.2,2.5,0.008271,0.0002056,-0.0002056,0.0004454,-0.0004454,0.0001996,-0.0001996
2.7,2.5,2.9,0.005348,0.0001334,-0.0001334,0.0002787,-0.0002787,0.000128,-0.000128
3.15,2.9,3.4,0.002769,8.043e-05,-8.043e-05,0.0001437,-0.0001437,6.999e-05,-6.999e-05
3.7,3.4,4.0,0.001429,5.138e-05,-5.138e-05,7.721e-05,-7.721e-05,3.646e-05,-3.646e-05
4.5,4.0,5.0,0.0004751,2.233e-05,-2.233e-05,2.955e-05,-2.955e-05,1.259e-05,-1.259e-05
5.75,5.0,6.5,0.0001166,8.867e-06,-8.867e-06,7.889e-06,-7.889e-06,3.172e-06,-3.172e-06

