#: table_doi: 10.17182/hepdata.77284.v1/t24
#: name: Table 24
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class IV (pp at $\sqrt{s}=7$ TeV).
#: data_file: data24.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IV
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.02892,0.0009974,-0.0009974,0.001736,-0.001736,0.0008741,-0.0008741
1.1,1.0,1.2,0.02692,0.0008417,-0.0008417,0.001421,-0.001421,0.0007076,-0.0007076
1.3,1.2,1.4,0.02281,0.0006426,-0.0006426,0.001197,-0.001197,0.0006026,-0.0006026
1.5,1.4,1.6,0.01926,0.000518,-0.000518,0.001003,-0.001003,0.0004625,-0.0004625
1.7,1.6,1.8,0.01455,0.0004041,-0.0004041,0.0007491,-0.0007491,0.0003513,-0.0003513
1.9,1.8,2.0,0.01151,0.0003239,-0.0003239,0.0005805,-0.0005805,0.0002753,-0.0002753
2.1,2.0,2.2,0.009188,0.0002713,-0.0002713,0.0004733,-0.0004733,0.0002213,-0.0002213
2.35,2.2,2.5,0.006574,0.0001767,-0.0001767,0.0003539,-0.0003539,0.0001584,-0.0001584
2.7,2.5,2.9,0.004044,0.0001107,-0.0001107,0.0002107,-0.0002107,9.665e-05,-9.665e-05
3.15,2.9,3.4,0.002152,6.797e-05,-6.797e-05,0.0001117,-0.0001117,5.44e-05,-5.44e-05
3.7,3.4,4.0,0.00102,4.06e-05,-4.06e-05,5.525e-05,-5.525e-05,2.631e-05,-2.631e-05
4.5,4.0,5.0,0.0003547,1.858e-05,-1.858e-05,2.206e-05,-2.206e-05,9.396e-06,-9.396e-06
5.75,5.0,6.5,8.918e-05,7.409e-06,-7.409e-06,6.035e-06,-6.035e-06,2.426e-06,-2.426e-06

