#: table_doi: 10.17182/hepdata.77284.v1/t25
#: name: Table 25
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class V (pp at $\sqrt{s}=7$ TeV).
#: data_file: data25.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class V
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.02551,0.000932,-0.000932,0.001535,-0.001535,0.0007793,-0.0007793
1.1,1.0,1.2,0.02193,0.0007503,-0.0007503,0.001158,-0.001158,0.0005777,-0.0005777
1.3,1.2,1.4,0.01878,0.0005736,-0.0005736,0.0009835,-0.0009835,0.0004916,-0.0004916
1.5,1.4,1.6,0.01559,0.0004517,-0.0004517,0.0008101,-0.0008101,0.0003718,-0.0003718
1.7,1.6,1.8,0.0123,0.0003613,-0.0003613,0.0006309,-0.0006309,0.0002923,-0.0002923
1.9,1.8,2.0,0.009428,0.0002842,-0.0002842,0.0004747,-0.0004747,0.0002239,-0.0002239
2.1,2.0,2.2,0.007237,0.0002318,-0.0002318,0.0003727,-0.0003727,0.0001741,-0.0001741
2.35,2.2,2.5,0.005047,0.0001497,-0.0001497,0.0002716,-0.0002716,0.0001212,-0.0001212
2.7,2.5,2.9,0.003108,9.475e-05,-9.475e-05,0.0001623,-0.0001623,7.499e-05,-7.499e-05
3.15,2.9,3.4,0.001655,5.809e-05,-5.809e-05,8.609e-05,-8.609e-05,4.226e-05,-4.226e-05
3.7,3.4,4.0,0.0007314,3.382e-05,-3.382e-05,3.952e-05,-3.952e-05,1.866e-05,-1.866e-05
4.5,4.0,5.0,0.0002846,1.624e-05,-1.624e-05,1.776e-05,-1.776e-05,7.674e-06,-7.674e-06
5.75,5.0,6.5,7.109e-05,6.605e-06,-6.605e-06,4.81e-06,-4.81e-06,1.934e-06,-1.934e-06

