#: table_doi: 10.17182/hepdata.77284.v1/t26
#: name: Table 26
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class VI (pp at $\sqrt{s}=7$ TeV).
#: data_file: data26.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VI
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.02117,0.0006158,-0.0006158,0.001281,-0.001281,0.0006596,-0.0006596
1.1,1.0,1.2,0.01863,0.0005128,-0.0005128,0.0009905,-0.0009905,0.0005044,-0.0005044
1.3,1.2,1.4,0.01575,0.0003866,-0.0003866,0.0008305,-0.0008305,0.0004234,-0.0004234
1.5,1.4,1.6,0.01255,0.0003006,-0.0003006,0.0006575,-0.0006575,0.0003103,-0.0003103
1.7,1.6,1.8,0.009503,0.0002362,-0.0002362,0.0004894,-0.0004894,0.0002299,-0.0002299
1.9,1.8,2.0,0.007078,0.0001824,-0.0001824,0.000358,-0.000358,0.0001716,-0.0001716
2.1,2.0,2.2,0.00518,0.0001457,-0.0001457,0.000267,-0.000267,0.0001251,-0.0001251
2.35,2.2,2.5,0.003979,9.911e-05,-9.911e-05,0.0002148,-0.0002148,9.718e-05,-9.718e-05
2.7,2.5,2.9,0.002205,5.855e-05,-5.855e-05,0.0001151,-0.0001151,5.305e-05,-5.305e-05
3.15,2.9,3.4,0.001186,3.602e-05,-3.602e-05,6.163e-05,-6.163e-05,3.016e-05,-3.016e-05
3.7,3.4,4.0,0.0005628,2.177e-05,-2.177e-05,3.058e-05,-3.058e-05,1.471e-05,-1.471e-05
4.5,4.0,5.0,0.0001956,9.662e-06,-9.662e-06,1.218e-05,-1.218e-05,5.213e-06,-5.213e-06
5.75,5.0,6.5,4.655e-05,3.892e-06,-3.892e-06,3.155e-06,-3.155e-06,1.28e-06,-1.28e-06

