#: table_doi: 10.17182/hepdata.77284.v1/t27
#: name: Table 27
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class VII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data27.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VII
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.01647,0.0005288,-0.0005288,0.001006,-0.001006,0.0005314,-0.0005314
1.1,1.0,1.2,0.01387,0.0004248,-0.0004248,0.0007443,-0.0007443,0.0003891,-0.0003891
1.3,1.2,1.4,0.01107,0.0003099,-0.0003099,0.0005867,-0.0005867,0.0003032,-0.0003032
1.5,1.4,1.6,0.009127,0.0002463,-0.0002463,0.0004757,-0.0004757,0.0002206,-0.0002206
1.7,1.6,1.8,0.00713,0.0001997,-0.0001997,0.0003772,-0.0003772,0.0001931,-0.0001931
1.9,1.8,2.0,0.004965,0.0001455,-0.0001455,0.0002517,-0.0002517,0.0001215,-0.0001215
2.1,2.0,2.2,0.003645,0.0001186,-0.0001186,0.0001913,-0.0001913,9.516e-05,-9.516e-05
2.35,2.2,2.5,0.002486,7.255e-05,-7.255e-05,0.0001336,-0.0001336,5.93e-05,-5.93e-05
2.7,2.5,2.9,0.001482,4.469e-05,-4.469e-05,7.712e-05,-7.712e-05,3.522e-05,-3.522e-05
3.15,2.9,3.4,0.0007314,2.656e-05,-2.656e-05,3.795e-05,-3.795e-05,1.849e-05,-1.849e-05
3.7,3.4,4.0,0.000356,1.641e-05,-1.641e-05,1.923e-05,-1.923e-05,9.083e-06,-9.083e-06
4.5,4.0,5.0,0.0001228,7.352e-06,-7.352e-06,7.639e-06,-7.639e-06,3.254e-06,-3.254e-06
5.75,5.0,6.5,2.691e-05,2.87e-06,-2.87e-06,1.821e-06,-1.821e-06,7.32e-07,-7.32e-07

