#: table_doi: 10.17182/hepdata.77284.v1/t28
#: name: Table 28
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class VIII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data28.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VIII
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.01319,0.0004587,-0.0004587,0.0008286,-0.0008286,0.0004679,-0.0004679
1.1,1.0,1.2,0.01032,0.0003506,-0.0003506,0.000563,-0.000563,0.0003069,-0.0003069
1.3,1.2,1.4,0.008518,0.0002626,-0.0002626,0.0004596,-0.0004596,0.0002487,-0.0002487
1.5,1.4,1.6,0.006341,0.0001967,-0.0001967,0.0003377,-0.0003377,0.0001683,-0.0001683
1.7,1.6,1.8,0.004623,0.0001495,-0.0001495,0.0002425,-0.0002425,0.0001209,-0.0001209
1.9,1.8,2.0,0.003514,0.0001164,-0.0001164,0.0001805,-0.0001805,9.07e-05,-9.07e-05
2.1,2.0,2.2,0.0025,9.206e-05,-9.206e-05,0.0001308,-0.0001308,6.428e-05,-6.428e-05
2.35,2.2,2.5,0.001728,5.84e-05,-5.84e-05,9.451e-05,-9.451e-05,4.481e-05,-4.481e-05
2.7,2.5,2.9,0.000991,3.571e-05,-3.571e-05,5.253e-05,-5.253e-05,2.557e-05,-2.557e-05
3.15,2.9,3.4,0.0005252,2.171e-05,-2.171e-05,2.783e-05,-2.783e-05,1.443e-05,-1.443e-05
3.7,3.4,4.0,0.0002099,1.203e-05,-1.203e-05,1.148e-05,-1.148e-05,5.641e-06,-5.641e-06
4.5,4.0,5.0,6.698e-05,5.353e-06,-5.353e-06,4.207e-06,-4.207e-06,1.868e-06,-1.868e-06
5.75,5.0,6.5,2.114e-05,2.316e-06,-2.316e-06,1.436e-06,-1.436e-06,5.889e-07,-5.889e-07

