#: table_doi: 10.17182/hepdata.77284.v1/t29
#: name: Table 29
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class IX (pp at $\sqrt{s}=7$ TeV).
#: data_file: data29.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IX
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.008945,0.0002751,-0.0002751,0.0006491,-0.0006491,0.000454,-0.000454
1.1,1.0,1.2,0.006489,0.0001996,-0.0001996,0.0003977,-0.0003977,0.0002646,-0.0002646
1.3,1.2,1.4,0.004952,0.0001429,-0.0001429,0.0002994,-0.0002994,0.0001979,-0.0001979
1.5,1.4,1.6,0.003511,0.0001039,-0.0001039,0.0002106,-0.0002106,0.0001344,-0.0001344
1.7,1.6,1.8,0.002554,8.005e-05,-8.005e-05,0.0001505,-0.0001505,9.583e-05,-9.583e-05
1.9,1.8,2.0,0.001878,6.072e-05,-6.072e-05,0.0001102,-0.0001102,7.2e-05,-7.2e-05
2.1,2.0,2.2,0.001359,4.784e-05,-4.784e-05,7.787e-05,-7.787e-05,4.726e-05,-4.726e-05
2.35,2.2,2.5,0.0008698,2.895e-05,-2.895e-05,5.061e-05,-5.061e-05,2.841e-05,-2.841e-05
2.7,2.5,2.9,0.000497,1.793e-05,-1.793e-05,3.009e-05,-3.009e-05,1.939e-05,-1.939e-05
3.15,2.9,3.4,0.0002451,1.045e-05,-1.045e-05,1.439e-05,-1.439e-05,9.15e-06,-9.15e-06
3.7,3.4,4.0,9.949e-05,5.864e-06,-5.864e-06,5.807e-06,-5.807e-06,3.357e-06,-3.357e-06
4.5,4.0,5.0,3.402e-05,2.643e-06,-2.643e-06,2.281e-06,-2.281e-06,1.241e-06,-1.241e-06
5.75,5.0,6.5,1.009e-05,1.131e-06,-1.131e-06,7.185e-07,-7.185e-07,3.545e-07,-3.545e-07

