#: table_doi: 10.17182/hepdata.77284.v1/t3
#: name: Table 3
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class III (pp at $\sqrt{s}=7$ TeV).
#: data_file: data3.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class III
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1726,0.01067,-0.01067,0.009911,-0.009911,0.00465,-0.00465
0.15,0.1,0.2,0.4906,0.005579,-0.005579,0.02501,-0.02501,0.01191,-0.01191
0.25,0.2,0.3,0.7029,0.005316,-0.005316,0.0338,-0.0338,0.01626,-0.01626
0.35,0.3,0.4,0.7893,0.00507,-0.00507,0.03859,-0.03859,0.01849,-0.01849
0.45,0.4,0.5,0.7978,0.004501,-0.004501,0.03934,-0.03934,0.01882,-0.01882
0.55,0.5,0.6,0.7595,0.003867,-0.003867,0.03765,-0.03765,0.01732,-0.01732
0.65,0.6,0.7,0.6812,0.003282,-0.003282,0.03394,-0.03394,0.01559,-0.01559
0.75,0.7,0.8,0.5966,0.002819,-0.002819,0.03015,-0.03015,0.0138,-0.0138
0.85,0.8,0.9,0.5152,0.002447,-0.002447,0.02667,-0.02667,0.01218,-0.01218
0.95,0.9,1.0,0.4345,0.002138,-0.002138,0.02254,-0.02254,0.0103,-0.0103
1.05,1.0,1.1,0.373,0.001912,-0.001912,0.01947,-0.01947,0.008624,-0.008624
1.15,1.1,1.2,0.3075,0.001686,-0.001686,0.01616,-0.01616,0.007147,-0.007147
1.25,1.2,1.3,0.2615,0.001533,-0.001533,0.01399,-0.01399,0.006192,-0.006192
1.35,1.3,1.4,0.22,0.001386,-0.001386,0.01197,-0.01197,0.005281,-0.005281
1.45,1.4,1.5,0.1853,0.00126,-0.00126,0.01003,-0.01003,0.004426,-0.004426
1.55,1.5,1.6,0.1571,0.001151,-0.001151,0.008594,-0.008594,0.00378,-0.00378
1.65,1.6,1.7,0.1345,0.001049,-0.001049,0.007459,-0.007459,0.003271,-0.003271
1.75,1.7,1.8,0.113,0.0009482,-0.0009482,0.006486,-0.006486,0.002841,-0.002841
1.85,1.8,1.9,0.09718,0.0008775,-0.0008775,0.005633,-0.005633,0.002464,-0.002464
1.95,1.9,2.0,0.08126,0.0007975,-0.0007975,0.004772,-0.004772,0.002081,-0.002081
2.1,2.0,2.2,0.06497,0.0004988,-0.0004988,0.003955,-0.003955,0.001551,-0.001551
2.3,2.2,2.4,0.04749,0.0004247,-0.0004247,0.003013,-0.003013,0.001174,-0.001174
2.5,2.4,2.6,0.03548,0.0003618,-0.0003618,0.002412,-0.002412,0.0009303,-0.0009303
2.7,2.6,2.8,0.02684,0.0003148,-0.0003148,0.001864,-0.001864,0.0007182,-0.0007182
2.9,2.8,3.0,0.02007,0.0002709,-0.0002709,0.001423,-0.001423,0.0005478,-0.0005478
3.15,3.0,3.3,0.01444,0.0001858,-0.0001858,0.001049,-0.001049,0.000403,-0.000403
3.45,3.3,3.6,0.009628,0.0001503,-0.0001503,0.000697,-0.000697,0.0002678,-0.0002678
3.75,3.6,3.9,0.006663,0.0001243,-0.0001243,0.0004758,-0.0004758,0.0001717,-0.0001717
4.05,3.9,4.2,0.004847,0.0001066,-0.0001066,0.0003461,-0.0003461,0.0001257,-0.0001257
4.4,4.2,4.6,0.003295,7.554e-05,-7.554e-05,0.0002488,-0.0002488,8.899e-05,-8.899e-05
4.8,4.6,5.0,0.002267,6.215e-05,-6.215e-05,0.0001697,-0.0001697,6.119e-05,-6.119e-05
5.2,5.0,5.4,0.001508,5.013e-05,-5.013e-05,0.0001191,-0.0001191,4.256e-05,-4.256e-05
5.65,5.4,5.9,0.00102,3.672e-05,-3.672e-05,6.596e-05,-6.596e-05,3.526e-05,-3.526e-05
6.2,5.9,6.5,0.0006437,2.689e-05,-2.689e-05,4.505e-05,-4.505e-05,2.397e-05,-2.397e-05
6.75,6.5,7.0,0.0004333,2.443e-05,-2.443e-05,2.98e-05,-2.98e-05,1.6e-05,-1.6e-05
7.5,7.0,8.0,0.000254,1.328e-05,-1.328e-05,1.557e-05,-1.557e-05,8.326e-06,-8.326e-06
9.0,8.0,10.0,0.0001079,6.287e-06,-6.287e-06,7.64e-06,-7.64e-06,5.633e-06,-5.633e-06
11.0,10.0,12.0,3.32e-05,3.676e-06,-3.676e-06,2.125e-06,-2.125e-06,1.57e-06,-1.57e-06

