#: table_doi: 10.17182/hepdata.77284.v1/t30
#: name: Table 30
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ transverse momentum spectrum: V0M Class X (pp at $\sqrt{s}=7$ TeV).
#: data_file: data30.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class X
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.8,0.6,1.0,0.004131,0.0001473,-0.0001473,0.0004612,-0.0004612,0.0004084,-0.0004084
1.1,1.0,1.2,0.002473,9.363e-05,-9.363e-05,0.0001999,-0.0001999,0.0001648,-0.0001648
1.3,1.2,1.4,0.001951,6.763e-05,-6.763e-05,0.0001477,-0.0001477,0.0001182,-0.0001182
1.5,1.4,1.6,0.001307,4.764e-05,-4.764e-05,9.504e-05,-9.504e-05,7.34e-05,-7.34e-05
1.7,1.6,1.8,0.0008011,3.335e-05,-3.335e-05,5.694e-05,-5.694e-05,4.377e-05,-4.377e-05
1.9,1.8,2.0,0.0005702,2.484e-05,-2.484e-05,3.875e-05,-3.875e-05,2.934e-05,-2.934e-05
2.1,2.0,2.2,0.0004183,1.975e-05,-1.975e-05,2.884e-05,-2.884e-05,2.165e-05,-2.165e-05
2.35,2.2,2.5,0.000245,1.169e-05,-1.169e-05,1.74e-05,-1.74e-05,1.279e-05,-1.279e-05
2.7,2.5,2.9,0.0001327,6.959e-06,-6.959e-06,9.032e-06,-9.032e-06,6.618e-06,-6.618e-06
3.15,2.9,3.4,6.087e-05,3.892e-06,-3.892e-06,4.121e-06,-4.121e-06,3.062e-06,-3.062e-06
3.7,3.4,4.0,2.67e-05,2.37e-06,-2.37e-06,1.814e-06,-1.814e-06,1.293e-06,-1.293e-06
4.5,4.0,5.0,8.957e-06,1.01e-06,-1.01e-06,6.536e-07,-6.536e-07,4.162e-07,-4.162e-07
5.75,5.0,6.5,2.102e-06,4.105e-07,-4.105e-07,1.668e-07,-1.668e-07,1.042e-07,-1.042e-07

