#: table_doi: 10.17182/hepdata.77284.v1/t36
#: name: Table 36
#: description: $2K^{0}_{S}/(\pi^{+}+\pi^{-})$ ratio for pp collisions at $\sqrt{s}=7$ TeV as a function of the average charged particle multiplicity density at midrapidity.
#: data_file: data36.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> K0S X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$2K^{0}_{S}/(\pi^{+}+\pi^{-})$
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,Ratios of yields to $(\pi^{+}+\pi^{-})$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.1332,0.000441,-0.000441,0.009564,-0.009564,0.0044,-0.0044
16.51,16.01,17.01,0.132,0.0002729,-0.0002729,0.009088,-0.009088,0.004072,-0.004072
13.46,13.06,13.86,0.1302,0.0002485,-0.0002485,0.008898,-0.008898,0.00405,-0.00405
11.51,11.16,11.86,0.1294,0.0002852,-0.0002852,0.008805,-0.008805,0.004046,-0.004046
10.08,9.78,10.38,0.1285,0.0003077,-0.0003077,0.008691,-0.008691,0.004056,-0.004056
8.45,8.2,8.7,0.1276,0.0002322,-0.0002322,0.008627,-0.008627,0.004063,-0.004063
6.72,6.51,6.93,0.1262,0.000277,-0.000277,0.008525,-0.008525,0.004119,-0.004119
5.4,5.23,5.57,0.1239,0.0003039,-0.0003039,0.00848,-0.00848,0.004239,-0.004239
3.9,3.76,4.04,0.1204,0.0002641,-0.0002641,0.009451,-0.009451,0.005485,-0.005485
2.26,2.14,2.38,0.1081,0.000252,-0.000252,0.0118,-0.0118,0.008011,-0.008011

