#: table_doi: 10.17182/hepdata.77284.v1/t37
#: name: Table 37
#: description: $(\Lambda+\bar{\Lambda})/(\pi^{+}+\pi^{-})$ ratio for pp collisions at $\sqrt{s}=7$ TeV as a function of the average charged particle multiplicity density at midrapidity.
#: data_file: data37.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(\Lambda+\bar{\Lambda})/(\pi^{+}+\pi^{-})$
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,Ratios of yields to $(\pi^{+}+\pi^{-})$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.03864,0.0001462,-0.0001462,0.003255,-0.003255,0.001577,-0.001577
16.51,16.01,17.01,0.03837,9.496e-05,-9.496e-05,0.003109,-0.003109,0.00142,-0.00142
13.46,13.06,13.86,0.03785,8.965e-05,-8.965e-05,0.003079,-0.003079,0.001529,-0.001529
11.51,11.16,11.86,0.03735,9.612e-05,-9.612e-05,0.003033,-0.003033,0.001676,-0.001676
10.08,9.78,10.38,0.03698,9.723e-05,-9.723e-05,0.002993,-0.002993,0.001587,-0.001587
8.45,8.2,8.7,0.03626,8.702e-05,-8.702e-05,0.002954,-0.002954,0.001665,-0.001665
6.72,6.51,6.93,0.03556,8.616e-05,-8.616e-05,0.002934,-0.002934,0.00177,-0.00177
5.4,5.23,5.57,0.03423,0.0001043,-0.0001043,0.00276,-0.00276,0.001374,-0.001374
3.9,3.76,4.04,0.0316,8.698e-05,-8.698e-05,0.002986,-0.002986,0.001906,-0.001906
2.26,2.14,2.38,0.02409,8.393e-05,-8.393e-05,0.003337,-0.003337,0.002589,-0.002589

