#: table_doi: 10.17182/hepdata.77284.v1/t38
#: name: Table 38
#: description: $(\Xi^{-}+\bar{\Xi}^{+})/(\pi^{+}+\pi^{-})$ ratio for pp collisions at $\sqrt{s}=7$ TeV as a function of the average charged particle multiplicity density at midrapidity.
#: data_file: data38.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(\Xi^{-}+\bar{\Xi}^{+})/(\pi^{+}+\pi^{-})$
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,Ratios of yields to $(\pi^{+}+\pi^{-})$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.004792,7.969e-05,-7.969e-05,0.0003832,-0.0003832,0.0001689,-0.0001689
16.51,16.01,17.01,0.00455,4.722e-05,-4.722e-05,0.0003576,-0.0003576,0.000162,-0.000162
13.46,13.06,13.86,0.004592,4.835e-05,-4.835e-05,0.0003696,-0.0003696,0.0001841,-0.0001841
11.51,11.16,11.86,0.00435,4.857e-05,-4.857e-05,0.000357,-0.000357,0.0001896,-0.0001896
10.08,9.78,10.38,0.004158,5.085e-05,-5.085e-05,0.0003593,-0.0003593,0.0002151,-0.0002151
8.45,8.2,8.7,0.004027,4.284e-05,-4.284e-05,0.0003536,-0.0003536,0.0002172,-0.0002172
6.72,6.51,6.93,0.003737,4.416e-05,-4.416e-05,0.0003466,-0.0003466,0.0002301,-0.0002301
5.4,5.23,5.57,0.003501,5.249e-05,-5.249e-05,0.0003489,-0.0003489,0.0002537,-0.0002537
3.9,3.76,4.04,0.003031,4.394e-05,-4.394e-05,0.0003538,-0.0003538,0.0002802,-0.0002802
2.26,2.14,2.38,0.00215,4.422e-05,-4.422e-05,0.0003424,-0.0003424,0.0002838,-0.0002838

