#: table_doi: 10.17182/hepdata.77284.v1/t4
#: name: Table 4
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class IV (pp at $\sqrt{s}=7$ TeV).
#: data_file: data4.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IV
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1576,0.009973,-0.009973,0.009055,-0.009055,0.004261,-0.004261
0.15,0.1,0.2,0.4418,0.005257,-0.005257,0.02255,-0.02255,0.01079,-0.01079
0.25,0.2,0.3,0.6231,0.004944,-0.004944,0.02999,-0.02999,0.01447,-0.01447
0.35,0.3,0.4,0.7076,0.004726,-0.004726,0.03465,-0.03465,0.01667,-0.01667
0.45,0.4,0.5,0.7027,0.004159,-0.004159,0.03469,-0.03469,0.01664,-0.01664
0.55,0.5,0.6,0.6601,0.003546,-0.003546,0.03274,-0.03274,0.0151,-0.0151
0.65,0.6,0.7,0.5838,0.002985,-0.002985,0.02911,-0.02911,0.01341,-0.01341
0.75,0.7,0.8,0.5108,0.002559,-0.002559,0.02584,-0.02584,0.01187,-0.01187
0.85,0.8,0.9,0.4352,0.002202,-0.002202,0.02255,-0.02255,0.01034,-0.01034
0.95,0.9,1.0,0.3617,0.001908,-0.001908,0.01877,-0.01877,0.008593,-0.008593
1.05,1.0,1.1,0.3094,0.001701,-0.001701,0.01616,-0.01616,0.007192,-0.007192
1.15,1.1,1.2,0.2551,0.0015,-0.0015,0.01343,-0.01343,0.005967,-0.005967
1.25,1.2,1.3,0.2152,0.00135,-0.00135,0.01152,-0.01152,0.005105,-0.005105
1.35,1.3,1.4,0.1804,0.001225,-0.001225,0.009825,-0.009825,0.004337,-0.004337
1.45,1.4,1.5,0.151,0.001107,-0.001107,0.008177,-0.008177,0.00361,-0.00361
1.55,1.5,1.6,0.1276,0.001007,-0.001007,0.006985,-0.006985,0.003078,-0.003078
1.65,1.6,1.7,0.108,0.0009136,-0.0009136,0.005991,-0.005991,0.002634,-0.002634
1.75,1.7,1.8,0.09075,0.0008219,-0.0008219,0.005206,-0.005206,0.002277,-0.002277
1.85,1.8,1.9,0.07699,0.0007551,-0.0007551,0.004464,-0.004464,0.001955,-0.001955
1.95,1.9,2.0,0.06501,0.0006912,-0.0006912,0.003818,-0.003818,0.001665,-0.001665
2.1,2.0,2.2,0.05112,0.00043,-0.00043,0.003113,-0.003113,0.001223,-0.001223
2.3,2.2,2.4,0.03785,0.0003652,-0.0003652,0.002401,-0.002401,0.0009366,-0.0009366
2.5,2.4,2.6,0.02803,0.0003126,-0.0003126,0.001906,-0.001906,0.0007379,-0.0007379
2.7,2.6,2.8,0.02066,0.0002679,-0.0002679,0.001435,-0.001435,0.0005546,-0.0005546
2.9,2.8,3.0,0.01583,0.0002321,-0.0002321,0.001121,-0.001121,0.0004297,-0.0004297
3.15,3.0,3.3,0.01116,0.0001573,-0.0001573,0.0008096,-0.0008096,0.00031,-0.00031
3.45,3.3,3.6,0.007443,0.0001271,-0.0001271,0.000539,-0.000539,0.0002075,-0.0002075
3.75,3.6,3.9,0.005347,0.0001081,-0.0001081,0.0003818,-0.0003818,0.0001378,-0.0001378
4.05,3.9,4.2,0.003789,9.096e-05,-9.096e-05,0.0002705,-0.0002705,9.807e-05,-9.807e-05
4.4,4.2,4.6,0.002655,6.56e-05,-6.56e-05,0.0002005,-0.0002005,7.172e-05,-7.172e-05
4.8,4.6,5.0,0.001649,5.207e-05,-5.207e-05,0.0001234,-0.0001234,4.459e-05,-4.459e-05
5.2,5.0,5.4,0.001177,4.304e-05,-4.304e-05,9.285e-05,-9.285e-05,3.304e-05,-3.304e-05
5.65,5.4,5.9,0.0007763,3.15e-05,-3.15e-05,5.015e-05,-5.015e-05,2.673e-05,-2.673e-05
6.2,5.9,6.5,0.000497,2.335e-05,-2.335e-05,3.477e-05,-3.477e-05,1.849e-05,-1.849e-05
6.75,6.5,7.0,0.0003062,1.981e-05,-1.981e-05,2.096e-05,-2.096e-05,1.114e-05,-1.114e-05
7.5,7.0,8.0,0.0001977,1.146e-05,-1.146e-05,1.213e-05,-1.213e-05,6.516e-06,-6.516e-06
9.0,8.0,10.0,8.483e-05,5.421e-06,-5.421e-06,6.004e-06,-6.004e-06,4.427e-06,-4.427e-06
11.0,10.0,12.0,2.285e-05,3.12e-06,-3.12e-06,1.462e-06,-1.462e-06,1.08e-06,-1.08e-06

