#: table_doi: 10.17182/hepdata.77284.v1/t40
#: name: Table 40
#: description: $\pi^{+}+\pi^{-}$ integrated yields, pp at $\sqrt{s}=7$ TeV (V0M Multiplicity Classes).
#: data_file: data40.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X
#: keyword observables: DN/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: RE,,,P P --> $\pi^{+}+\pi^{-}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$dN/dy$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,20.07,0.01363,-0.01363,1.037,-1.037,0.5404,-0.5404
16.51,16.01,17.01,15.76,0.003777,-0.003777,0.7545,-0.7545,0.3906,-0.3906
13.46,13.06,13.86,12.92,0.002704,-0.002704,0.6114,-0.6114,0.3237,-0.3237
11.51,11.16,11.86,11.11,0.002297,-0.002297,0.5225,-0.5225,0.2799,-0.2799
10.08,9.78,10.38,9.785,0.00211,-0.00211,0.4555,-0.4555,0.249,-0.249
8.45,8.2,8.7,8.277,0.001396,-0.001396,0.3842,-0.3842,0.21,-0.21
6.72,6.51,6.93,6.652,0.001186,-0.001186,0.3064,-0.3064,0.1705,-0.1705
5.4,5.23,5.57,5.397,0.001011,-0.001011,0.2496,-0.2496,0.1377,-0.1377
3.9,3.76,4.04,3.977,0.0006002,-0.0006002,0.2067,-0.2067,0.1005,-0.1005
2.26,2.14,2.38,2.42,0.0003606,-0.0003606,0.1715,-0.1715,0.0602,-0.0602

