#: table_doi: 10.17182/hepdata.77284.v1/t41
#: name: Table 41
#: description: $p+\bar{p}$ integrated yields, pp at $\sqrt{s}=7$ TeV (V0M Multiplicity Classes).
#: data_file: data41.yaml
#: data_license:   
#: keyword reactions: P P --> P X, P P --> PBAR X
#: keyword observables: DN/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: RE,,,P P --> $p+\bar{p}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$dN/dy$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,1.098,0.002409,-0.002409,0.07869,-0.07869,0.02945,-0.02945
16.51,16.01,17.01,0.8738,0.00102,-0.00102,0.06015,-0.06015,0.0222,-0.0222
13.46,13.06,13.86,0.7198,0.0007631,-0.0007631,0.04911,-0.04911,0.01798,-0.01798
11.51,11.16,11.86,0.6212,0.0006747,-0.0006747,0.04196,-0.04196,0.01533,-0.01533
10.08,9.78,10.38,0.5483,0.000593,-0.000593,0.03705,-0.03705,0.01349,-0.01349
8.45,8.2,8.7,0.4633,0.0004,-0.0004,0.0312,-0.0312,0.01123,-0.01123
6.72,6.51,6.93,0.372,0.0003504,-0.0003504,0.02505,-0.02505,0.008657,-0.008657
5.4,5.23,5.57,0.2982,0.0003042,-0.0003042,0.02018,-0.02018,0.006869,-0.006869
3.9,3.76,4.04,0.214,0.0001868,-0.0001868,0.01602,-0.01602,0.004933,-0.004933
2.26,2.14,2.38,0.1171,0.0001087,-0.0001087,0.01064,-0.01064,0.002792,-0.002792

