#: table_doi: 10.17182/hepdata.77284.v1/t42
#: name: Table 42
#: description: $K^{0}_{S}$ integrated yields, pp at $\sqrt{s}=7$ TeV (V0M Multiplicity Classes).
#: data_file: data42.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: DN/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$dN/dy$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,1.337,0.004331,-0.004331,0.07021,-0.07021,0.03172,-0.03172
16.51,16.01,17.01,1.04,0.002135,-0.002135,0.05436,-0.05436,0.02463,-0.02463
13.46,13.06,13.86,0.8412,0.001595,-0.001595,0.04385,-0.04385,0.01996,-0.01996
11.51,11.16,11.86,0.7189,0.001577,-0.001577,0.0374,-0.0374,0.01711,-0.01711
10.08,9.78,10.38,0.6285,0.001499,-0.001499,0.03267,-0.03267,0.01503,-0.01503
8.45,8.2,8.7,0.5278,0.0009568,-0.0009568,0.02749,-0.02749,0.01288,-0.01288
6.72,6.51,6.93,0.4196,0.0009179,-0.0009179,0.02195,-0.02195,0.01054,-0.01054
5.4,5.23,5.57,0.3343,0.0008175,-0.0008175,0.0178,-0.0178,0.00911,-0.00911
3.9,3.76,4.04,0.2392,0.0005236,-0.0005236,0.01463,-0.01463,0.009746,-0.009746
2.26,2.14,2.38,0.1307,0.0003041,-0.0003041,0.01105,-0.01105,0.009311,-0.009311

