#: table_doi: 10.17182/hepdata.77284.v1/t43
#: name: Table 43
#: description: $\Lambda+\bar{\Lambda}$ integrated yields, pp at $\sqrt{s}=7$ TeV (V0M Multiplicity Classes).
#: data_file: data43.yaml
#: data_license:   
#: keyword reactions: P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: DN/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: RE,,,P P --> $\Lambda+\bar{\Lambda}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$dN/dy$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.7754,0.002885,-0.002885,0.05315,-0.05315,0.02615,-0.02615
16.51,16.01,17.01,0.6046,0.001489,-0.001489,0.0408,-0.0408,0.01891,-0.01891
13.46,13.06,13.86,0.489,0.001154,-0.001154,0.0334,-0.0334,0.01713,-0.01713
11.51,11.16,11.86,0.4149,0.001064,-0.001064,0.02836,-0.02836,0.01661,-0.01661
10.08,9.78,10.38,0.3618,0.0009481,-0.0009481,0.02474,-0.02474,0.01362,-0.01362
8.45,8.2,8.7,0.3001,0.0007183,-0.0007183,0.02074,-0.02074,0.01233,-0.01233
6.72,6.51,6.93,0.2364,0.0005714,-0.0005714,0.01669,-0.01669,0.01069,-0.01069
5.4,5.23,5.57,0.1847,0.0005616,-0.0005616,0.0126,-0.0126,0.006355,-0.006355
3.9,3.76,4.04,0.1256,0.0003452,-0.0003452,0.01013,-0.01013,0.007129,-0.007129
2.26,2.14,2.38,0.05825,0.0002028,-0.0002028,0.006997,-0.006997,0.006146,-0.006146

