#: table_doi: 10.17182/hepdata.77284.v1/t44
#: name: Table 44
#: description: $\Xi^{-}+\bar{\Xi}^{+}$ integrated yields, pp at $\sqrt{s}=7$ TeV (V0M Multiplicity Classes).
#: data_file: data44.yaml
#: data_license:   
#: keyword reactions: P P --> XI- X, P P --> XIBAR+ X
#: keyword observables: DN/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: RE,,,P P --> $\Xi^{-}+\bar{\Xi}^{+}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$dN/dy$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.09616,0.001598,-0.001598,0.006081,-0.006081,0.002571,-0.002571
16.51,16.01,17.01,0.07169,0.0007437,-0.0007437,0.004629,-0.004629,0.002123,-0.002123
13.46,13.06,13.86,0.05931,0.0006245,-0.0006245,0.003992,-0.003992,0.002057,-0.002057
11.51,11.16,11.86,0.04832,0.0005393,-0.0005393,0.003352,-0.003352,0.001864,-0.001864
10.08,9.78,10.38,0.04068,0.0004974,-0.0004974,0.003042,-0.003042,0.00193,-0.00193
8.45,8.2,8.7,0.03333,0.0003545,-0.0003545,0.002549,-0.002549,0.001663,-0.001663
6.72,6.51,6.93,0.02485,0.0002936,-0.0002936,0.002045,-0.002045,0.00144,-0.00144
5.4,5.23,5.57,0.01889,0.0002831,-0.0002831,0.001698,-0.001698,0.001312,-0.001312
3.9,3.76,4.04,0.01205,0.0001746,-0.0001746,0.001275,-0.001275,0.001086,-0.001086
2.26,2.14,2.38,0.005199,0.0001069,-0.0001069,0.0007461,-0.0007461,0.0006779,-0.0006779

