#: table_doi: 10.17182/hepdata.77284.v1/t46
#: name: Table 46
#: description: $(\Lambda+\bar{\Lambda})/2K^{0}_{S}$ ratio for pp collisions at $\sqrt{s}=7$ TeV as a function of charged particle multiplicity density at midrapidity.
#: data_file: data46.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X, P P --> LAMBDA X, P P --> LAMBDABAR X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(\Lambda+\bar{\Lambda})/2K^{0}_{S}$
#: RE,,,P P --> $2K^{0}_{S}$ + X,,,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,Baryon to meson ratio,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.2901,0.001431,-0.001431,0.02505,-0.02505,0.01196,-0.01196
16.51,16.01,17.01,0.2908,0.0009327,-0.0009327,0.02482,-0.02482,0.01141,-0.01141
13.46,13.06,13.86,0.2906,0.0008797,-0.0008797,0.02497,-0.02497,0.0123,-0.0123
11.51,11.16,11.86,0.2886,0.000974,-0.000974,0.02479,-0.02479,0.01344,-0.01344
10.08,9.78,10.38,0.2878,0.00102,-0.00102,0.02472,-0.02472,0.01284,-0.01284
8.45,8.2,8.7,0.2842,0.0008535,-0.0008535,0.0246,-0.0246,0.01359,-0.01359
6.72,6.51,6.93,0.2817,0.0009183,-0.0009183,0.02475,-0.02475,0.01457,-0.01457
5.4,5.23,5.57,0.2762,0.001078,-0.001078,0.0239,-0.0239,0.01212,-0.01212
3.9,3.76,4.04,0.2625,0.0009223,-0.0009223,0.02657,-0.02657,0.01834,-0.01834
2.26,2.14,2.38,0.2229,0.000933,-0.000933,0.03274,-0.03274,0.02837,-0.02837

