#: table_doi: 10.17182/hepdata.77284.v1/t47
#: name: Table 47
#: description: $(p+\bar{p})/(\pi^{+}+\pi^{-})$ ratio for pp collisions at $\sqrt{s}=7$ TeV as a function of charged particle multiplicity density at midrapidity.
#: data_file: data47.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> P X, P P --> PBAR X
#: keyword observables: RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(p+\bar{p})/(\pi^{+}+\pi^{-})$
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,Baryon to meson ratio,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,0.0547,0.0001254,-0.0001254,0.004724,-0.004724,0.002116,-0.002116
16.51,16.01,17.01,0.05546,6.569e-05,-6.569e-05,0.004527,-0.004527,0.001974,-0.001974
13.46,13.06,13.86,0.05572,6.02e-05,-6.02e-05,0.004498,-0.004498,0.002007,-0.002007
11.51,11.16,11.86,0.05592,6.206e-05,-6.206e-05,0.004469,-0.004469,0.00204,-0.00204
10.08,9.78,10.38,0.05604,6.178e-05,-6.178e-05,0.004462,-0.004462,0.002076,-0.002076
8.45,8.2,8.7,0.05597,4.878e-05,-4.878e-05,0.004442,-0.004442,0.002079,-0.002079
6.72,6.51,6.93,0.05593,5.352e-05,-5.352e-05,0.004421,-0.004421,0.002109,-0.002109
5.4,5.23,5.57,0.05525,5.732e-05,-5.732e-05,0.00439,-0.00439,0.002099,-0.002099
3.9,3.76,4.04,0.05381,4.755e-05,-4.755e-05,0.004784,-0.004784,0.002062,-0.002062
2.26,2.14,2.38,0.0484,4.547e-05,-4.547e-05,0.005498,-0.005498,0.001922,-0.001922

