#: table_doi: 10.17182/hepdata.77284.v1/t48
#: name: Table 48
#: description: $(2K^{0}_{S})/(\pi^{+}+\pi^{-})$ double-ratio vs multiplicity for pp collisions at $\sqrt{s}=7$ TeV.
#: data_file: data48.yaml
#: data_license:   
#: keyword reactions: P P --> PI+ X, P P --> PI- X, P P --> K0S X
#: keyword observables: RATIO/RATIO
#: keyword phrases: 
#: keyword energies: 7000.0
#: RATIO,,,$(2K^{0}_{S})/(\pi^{+}+\pi^{-})$ DOUBLE-RATIO
#: RE,,,P P --> $(\pi^{+}+\pi^{-})$ + X,,,,
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ LOW,$\langle dN_{ch}/d\eta \rangle_{|\eta|<0.5}$ HIGH,$(h/\pi) / (h/\pi)^{pp}_{INEL>0}$,stat +,stat -,"sys,uncorr +","sys,uncorr -"
21.29,20.65,21.93,1.068,0.003535,-0.003535,0.03527,-0.03527
16.51,16.01,17.01,1.058,0.002187,-0.002187,0.03264,-0.03264
13.46,13.06,13.86,1.044,0.001992,-0.001992,0.03247,-0.03247
11.51,11.16,11.86,1.038,0.002287,-0.002287,0.03244,-0.03244
10.08,9.78,10.38,1.03,0.002467,-0.002467,0.03252,-0.03252
8.45,8.2,8.7,1.023,0.001862,-0.001862,0.03257,-0.03257
6.72,6.51,6.93,1.012,0.002221,-0.002221,0.03302,-0.03302
5.4,5.23,5.57,0.9934,0.002436,-0.002436,0.03398,-0.03398
3.9,3.76,4.04,0.965,0.002117,-0.002117,0.04397,-0.04397
2.26,2.14,2.38,0.8666,0.00202,-0.00202,0.06422,-0.06422

