#: table_doi: 10.17182/hepdata.77284.v1/t5
#: name: Table 5
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class V (pp at $\sqrt{s}=7$ TeV).
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class V
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1434,0.009492,-0.009492,0.00825,-0.00825,0.003899,-0.003899
0.15,0.1,0.2,0.394,0.004905,-0.004905,0.02014,-0.02014,0.009687,-0.009687
0.25,0.2,0.3,0.5652,0.004667,-0.004667,0.02724,-0.02724,0.01321,-0.01321
0.35,0.3,0.4,0.6399,0.004453,-0.004453,0.03138,-0.03138,0.01517,-0.01517
0.45,0.4,0.5,0.6321,0.003904,-0.003904,0.03126,-0.03126,0.01509,-0.01509
0.55,0.5,0.6,0.5845,0.003298,-0.003298,0.02906,-0.02906,0.01352,-0.01352
0.65,0.6,0.7,0.5156,0.002768,-0.002768,0.02575,-0.02575,0.01193,-0.01193
0.75,0.7,0.8,0.4467,0.002356,-0.002356,0.02261,-0.02261,0.01042,-0.01042
0.85,0.8,0.9,0.3759,0.002016,-0.002016,0.01948,-0.01948,0.008929,-0.008929
0.95,0.9,1.0,0.3099,0.001736,-0.001736,0.01609,-0.01609,0.007374,-0.007374
1.05,1.0,1.1,0.2637,0.001543,-0.001543,0.01379,-0.01379,0.00615,-0.00615
1.15,1.1,1.2,0.217,0.001357,-0.001357,0.01143,-0.01143,0.005101,-0.005101
1.25,1.2,1.3,0.1807,0.001217,-0.001217,0.00968,-0.00968,0.004305,-0.004305
1.35,1.3,1.4,0.1515,0.001101,-0.001101,0.008254,-0.008254,0.003654,-0.003654
1.45,1.4,1.5,0.1265,0.0009915,-0.0009915,0.006852,-0.006852,0.003029,-0.003029
1.55,1.5,1.6,0.1081,0.0009071,-0.0009071,0.005924,-0.005924,0.00262,-0.00262
1.65,1.6,1.7,0.08918,0.0008098,-0.0008098,0.004953,-0.004953,0.002184,-0.002184
1.75,1.7,1.8,0.07606,0.0007399,-0.0007399,0.004366,-0.004366,0.001914,-0.001914
1.85,1.8,1.9,0.06365,0.0006713,-0.0006713,0.00369,-0.00369,0.001614,-0.001614
1.95,1.9,2.0,0.05413,0.0006162,-0.0006162,0.003181,-0.003181,0.001391,-0.001391
2.1,2.0,2.2,0.04228,0.0003814,-0.0003814,0.002577,-0.002577,0.001019,-0.001019
2.3,2.2,2.4,0.03072,0.0003224,-0.0003224,0.001951,-0.001951,0.0007649,-0.0007649
2.5,2.4,2.6,0.02317,0.0002764,-0.0002764,0.001576,-0.001576,0.0006092,-0.0006092
2.7,2.6,2.8,0.01713,0.0002385,-0.0002385,0.00119,-0.00119,0.0004601,-0.0004601
2.9,2.8,3.0,0.01275,0.0002032,-0.0002032,0.0009038,-0.0009038,0.0003478,-0.0003478
3.15,3.0,3.3,0.008992,0.0001386,-0.0001386,0.0006534,-0.0006534,0.0002524,-0.0002524
3.45,3.3,3.6,0.006113,0.000114,-0.000114,0.0004423,-0.0004423,0.0001696,-0.0001696
3.75,3.6,3.9,0.004233,9.417e-05,-9.417e-05,0.0003024,-0.0003024,0.0001094,-0.0001094
4.05,3.9,4.2,0.003056,8.013e-05,-8.013e-05,0.000218,-0.000218,7.856e-05,-7.856e-05
4.4,4.2,4.6,0.002039,5.566e-05,-5.566e-05,0.000154,-0.000154,5.509e-05,-5.509e-05
4.8,4.6,5.0,0.001459,4.73e-05,-4.73e-05,0.0001091,-0.0001091,3.908e-05,-3.908e-05
5.2,5.0,5.4,0.0009207,3.749e-05,-3.749e-05,7.265e-05,-7.265e-05,2.586e-05,-2.586e-05
5.65,5.4,5.9,0.0006259,2.785e-05,-2.785e-05,4.064e-05,-4.064e-05,2.193e-05,-2.193e-05
6.2,5.9,6.5,0.0004037,2.05e-05,-2.05e-05,2.822e-05,-2.822e-05,1.497e-05,-1.497e-05
6.75,6.5,7.0,0.0002736,1.873e-05,-1.873e-05,1.873e-05,-1.873e-05,9.952e-06,-9.952e-06
7.5,7.0,8.0,0.0001627,9.983e-06,-9.983e-06,9.993e-06,-9.993e-06,5.374e-06,-5.374e-06
9.0,8.0,10.0,6.456e-05,4.716e-06,-4.716e-06,4.578e-06,-4.578e-06,3.381e-06,-3.381e-06
11.0,10.0,12.0,1.72e-05,2.641e-06,-2.641e-06,1.109e-06,-1.109e-06,8.244e-07,-8.244e-07

