#: table_doi: 10.17182/hepdata.77284.v1/t6
#: name: Table 6
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class VI (pp at $\sqrt{s}=7$ TeV).
#: data_file: data6.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VI
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1304,0.006561,-0.006561,0.007551,-0.007551,0.003643,-0.003643
0.15,0.1,0.2,0.3551,0.003417,-0.003417,0.01828,-0.01828,0.008992,-0.008992
0.25,0.2,0.3,0.4967,0.003195,-0.003195,0.02414,-0.02414,0.01201,-0.01201
0.35,0.3,0.4,0.5492,0.003022,-0.003022,0.0271,-0.0271,0.01337,-0.01337
0.45,0.4,0.5,0.5462,0.002665,-0.002665,0.02717,-0.02717,0.01337,-0.01337
0.55,0.5,0.6,0.4989,0.002242,-0.002242,0.02491,-0.02491,0.01177,-0.01177
0.65,0.6,0.7,0.4339,0.001873,-0.001873,0.02177,-0.02177,0.01026,-0.01026
0.75,0.7,0.8,0.3676,0.00158,-0.00158,0.01869,-0.01869,0.008745,-0.008745
0.85,0.8,0.9,0.3115,0.001361,-0.001361,0.0162,-0.0162,0.007527,-0.007527
0.95,0.9,1.0,0.2585,0.001178,-0.001178,0.01346,-0.01346,0.006235,-0.006235
1.05,1.0,1.1,0.2139,0.001033,-0.001033,0.01121,-0.01121,0.00505,-0.00505
1.15,1.1,1.2,0.1743,0.000903,-0.000903,0.009201,-0.009201,0.00414,-0.00414
1.25,1.2,1.3,0.1446,0.0008089,-0.0008089,0.007757,-0.007757,0.003472,-0.003472
1.35,1.3,1.4,0.1222,0.0007335,-0.0007335,0.006677,-0.006677,0.002986,-0.002986
1.45,1.4,1.5,0.1013,0.0006592,-0.0006592,0.005498,-0.005498,0.002457,-0.002457
1.55,1.5,1.6,0.08454,0.0005942,-0.0005942,0.004641,-0.004641,0.002069,-0.002069
1.65,1.6,1.7,0.07046,0.0005342,-0.0005342,0.003921,-0.003921,0.001743,-0.001743
1.75,1.7,1.8,0.05985,0.0004858,-0.0004858,0.003441,-0.003441,0.001519,-0.001519
1.85,1.8,1.9,0.05012,0.0004426,-0.0004426,0.00291,-0.00291,0.001281,-0.001281
1.95,1.9,2.0,0.04249,0.0004042,-0.0004042,0.0025,-0.0025,0.001099,-0.001099
2.1,2.0,2.2,0.03286,0.0002496,-0.0002496,0.002005,-0.002005,0.000795,-0.000795
2.3,2.2,2.4,0.02404,0.0002111,-0.0002111,0.001528,-0.001528,0.000601,-0.000601
2.5,2.4,2.6,0.01769,0.0001791,-0.0001791,0.001204,-0.001204,0.0004669,-0.0004669
2.7,2.6,2.8,0.01296,0.0001528,-0.0001528,0.0009014,-0.0009014,0.0003501,-0.0003501
2.9,2.8,3.0,0.009767,0.0001315,-0.0001315,0.0006932,-0.0006932,0.0002681,-0.0002681
3.15,3.0,3.3,0.006829,8.847e-05,-8.847e-05,0.0004963,-0.0004963,0.0001918,-0.0001918
3.45,3.3,3.6,0.00462,7.232e-05,-7.232e-05,0.0003347,-0.0003347,0.0001291,-0.0001291
3.75,3.6,3.9,0.003167,5.978e-05,-5.978e-05,0.0002267,-0.0002267,8.311e-05,-8.311e-05
4.05,3.9,4.2,0.002222,5.003e-05,-5.003e-05,0.0001588,-0.0001588,5.805e-05,-5.805e-05
4.4,4.2,4.6,0.001578,3.621e-05,-3.621e-05,0.0001194,-0.0001194,4.318e-05,-4.318e-05
4.8,4.6,5.0,0.001051,2.941e-05,-2.941e-05,7.871e-05,-7.871e-05,2.84e-05,-2.84e-05
5.2,5.0,5.4,0.0007113,2.418e-05,-2.418e-05,5.612e-05,-5.612e-05,1.997e-05,-1.997e-05
5.65,5.4,5.9,0.000447,1.71e-05,-1.71e-05,2.898e-05,-2.898e-05,1.559e-05,-1.559e-05
6.2,5.9,6.5,0.0003103,1.324e-05,-1.324e-05,2.181e-05,-2.181e-05,1.173e-05,-1.173e-05
6.75,6.5,7.0,0.0001946,1.132e-05,-1.132e-05,1.334e-05,-1.334e-05,7.098e-06,-7.098e-06
7.5,7.0,8.0,0.0001212,6.378e-06,-6.378e-06,7.441e-06,-7.441e-06,3.995e-06,-3.995e-06
9.0,8.0,10.0,4.919e-05,2.943e-06,-2.943e-06,3.486e-06,-3.486e-06,2.573e-06,-2.573e-06
11.0,10.0,12.0,1.602e-05,1.816e-06,-1.816e-06,1.029e-06,-1.029e-06,7.631e-07,-7.631e-07

