#: table_doi: 10.17182/hepdata.77284.v1/t7
#: name: Table 7
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class VII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data7.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VII
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1267,0.006334,-0.006334,0.00736,-0.00736,0.003589,-0.003589
0.15,0.1,0.2,0.3033,0.003101,-0.003101,0.01579,-0.01579,0.008027,-0.008027
0.25,0.2,0.3,0.41,0.002857,-0.002857,0.02014,-0.02014,0.01033,-0.01033
0.35,0.3,0.4,0.4579,0.002717,-0.002717,0.02291,-0.02291,0.01176,-0.01176
0.45,0.4,0.5,0.4455,0.00236,-0.00236,0.02237,-0.02237,0.01133,-0.01133
0.55,0.5,0.6,0.3998,0.001966,-0.001966,0.02012,-0.02012,0.009763,-0.009763
0.65,0.6,0.7,0.3432,0.001624,-0.001624,0.01729,-0.01729,0.008267,-0.008267
0.75,0.7,0.8,0.2913,0.001372,-0.001372,0.01488,-0.01488,0.007081,-0.007081
0.85,0.8,0.9,0.2424,0.00117,-0.00117,0.01267,-0.01267,0.005992,-0.005992
0.95,0.9,1.0,0.1988,0.001004,-0.001004,0.01041,-0.01041,0.004925,-0.004925
1.05,1.0,1.1,0.1625,0.0008731,-0.0008731,0.008549,-0.008549,0.003911,-0.003911
1.15,1.1,1.2,0.1323,0.000763,-0.000763,0.007003,-0.007003,0.00318,-0.00318
1.25,1.2,1.3,0.1093,0.0006788,-0.0006788,0.005879,-0.005879,0.002664,-0.002664
1.35,1.3,1.4,0.09011,0.0006051,-0.0006051,0.004916,-0.004916,0.002188,-0.002188
1.45,1.4,1.5,0.07362,0.0005411,-0.0005411,0.004002,-0.004002,0.001797,-0.001797
1.55,1.5,1.6,0.06183,0.0004918,-0.0004918,0.00341,-0.00341,0.001548,-0.001548
1.65,1.6,1.7,0.05167,0.0004407,-0.0004407,0.002877,-0.002877,0.001283,-0.001283
1.75,1.7,1.8,0.04203,0.0003928,-0.0003928,0.002425,-0.002425,0.001085,-0.001085
1.85,1.8,1.9,0.03584,0.0003586,-0.0003586,0.002085,-0.002085,0.0009244,-0.0009244
1.95,1.9,2.0,0.03081,0.0003313,-0.0003313,0.001817,-0.001817,0.0008064,-0.0008064
2.1,2.0,2.2,0.02369,0.0002033,-0.0002033,0.001449,-0.001449,0.0005814,-0.0005814
2.3,2.2,2.4,0.01704,0.0001707,-0.0001707,0.001085,-0.001085,0.00043,-0.00043
2.5,2.4,2.6,0.01232,0.0001426,-0.0001426,0.0008392,-0.0008392,0.000327,-0.000327
2.7,2.6,2.8,0.009164,0.0001228,-0.0001228,0.0006376,-0.0006376,0.0002484,-0.0002484
2.9,2.8,3.0,0.006779,0.0001045,-0.0001045,0.0004808,-0.0004808,0.0001852,-0.0001852
3.15,3.0,3.3,0.004803,7.126e-05,-7.126e-05,0.0003486,-0.0003486,0.0001338,-0.0001338
3.45,3.3,3.6,0.003215,5.774e-05,-5.774e-05,0.0002325,-0.0002325,8.882e-05,-8.882e-05
3.75,3.6,3.9,0.002185,4.795e-05,-4.795e-05,0.000157,-0.000157,5.889e-05,-5.889e-05
4.05,3.9,4.2,0.00159,4.064e-05,-4.064e-05,0.0001137,-0.0001137,4.17e-05,-4.17e-05
4.4,4.2,4.6,0.001042,2.803e-05,-2.803e-05,7.868e-05,-7.868e-05,2.815e-05,-2.815e-05
4.8,4.6,5.0,0.0007158,2.373e-05,-2.373e-05,5.373e-05,-5.373e-05,1.975e-05,-1.975e-05
5.2,5.0,5.4,0.0004413,1.832e-05,-1.832e-05,3.482e-05,-3.482e-05,1.239e-05,-1.239e-05
5.65,5.4,5.9,0.0003011,1.367e-05,-1.367e-05,1.963e-05,-1.963e-05,1.071e-05,-1.071e-05
6.2,5.9,6.5,0.0001921,1.021e-05,-1.021e-05,1.356e-05,-1.356e-05,7.379e-06,-7.379e-06
6.75,6.5,7.0,0.0001351,9.205e-06,-9.205e-06,9.254e-06,-9.254e-06,4.916e-06,-4.916e-06
7.5,7.0,8.0,7.487e-05,4.896e-06,-4.896e-06,4.682e-06,-4.682e-06,2.625e-06,-2.625e-06
9.0,8.0,10.0,3.183e-05,2.338e-06,-2.338e-06,2.253e-06,-2.253e-06,1.661e-06,-1.661e-06
11.0,10.0,12.0,1.153e-05,1.445e-06,-1.445e-06,7.379e-07,-7.379e-07,5.452e-07,-5.452e-07

