#: table_doi: 10.17182/hepdata.77284.v1/t8
#: name: Table 8
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class VIII (pp at $\sqrt{s}=7$ TeV).
#: data_file: data8.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class VIII
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.1024,0.005627,-0.005627,0.00613,-0.00613,0.003259,-0.003259
0.15,0.1,0.2,0.2514,0.00278,-0.00278,0.01346,-0.01346,0.007372,-0.007372
0.25,0.2,0.3,0.3482,0.002576,-0.002576,0.01768,-0.01768,0.009856,-0.009856
0.35,0.3,0.4,0.3794,0.002418,-0.002418,0.01951,-0.01951,0.01074,-0.01074
0.45,0.4,0.5,0.3658,0.002084,-0.002084,0.01884,-0.01884,0.0102,-0.0102
0.55,0.5,0.6,0.3257,0.001727,-0.001727,0.01679,-0.01679,0.008754,-0.008754
0.65,0.6,0.7,0.2775,0.001424,-0.001424,0.01431,-0.01431,0.007339,-0.007339
0.75,0.7,0.8,0.2301,0.001182,-0.001182,0.01195,-0.01195,0.005996,-0.005996
0.85,0.8,0.9,0.1876,0.000994,-0.000994,0.009938,-0.009938,0.004907,-0.004907
0.95,0.9,1.0,0.1521,0.0008466,-0.0008466,0.008041,-0.008041,0.003933,-0.003933
1.05,1.0,1.1,0.123,0.0007311,-0.0007311,0.006543,-0.006543,0.003113,-0.003113
1.15,1.1,1.2,0.1003,0.000639,-0.000639,0.005362,-0.005362,0.002525,-0.002525
1.25,1.2,1.3,0.08253,0.0005679,-0.0005679,0.004478,-0.004478,0.002093,-0.002093
1.35,1.3,1.4,0.06762,0.0005055,-0.0005055,0.003734,-0.003734,0.00174,-0.00174
1.45,1.4,1.5,0.05487,0.0004484,-0.0004484,0.003012,-0.003012,0.001403,-0.001403
1.55,1.5,1.6,0.04532,0.0004028,-0.0004028,0.002513,-0.002513,0.001164,-0.001164
1.65,1.6,1.7,0.03789,0.0003612,-0.0003612,0.002127,-0.002127,0.0009789,-0.0009789
1.75,1.7,1.8,0.03089,0.0003231,-0.0003231,0.001792,-0.001792,0.0008203,-0.0008203
1.85,1.8,1.9,0.026,0.0002934,-0.0002934,0.001523,-0.001523,0.0006944,-0.0006944
1.95,1.9,2.0,0.02197,0.0002674,-0.0002674,0.001305,-0.001305,0.0005969,-0.0005969
2.1,2.0,2.2,0.01691,0.0001637,-0.0001637,0.001039,-0.001039,0.0004272,-0.0004272
2.3,2.2,2.4,0.01186,0.0001361,-0.0001361,0.000759,-0.000759,0.00031,-0.00031
2.5,2.4,2.6,0.008751,0.0001152,-0.0001152,0.0005993,-0.0005993,0.0002408,-0.0002408
2.7,2.6,2.8,0.00649,9.886e-05,-9.886e-05,0.0004537,-0.0004537,0.0001814,-0.0001814
2.9,2.8,3.0,0.004821,8.492e-05,-8.492e-05,0.000344,-0.000344,0.0001372,-0.0001372
3.15,3.0,3.3,0.003372,5.749e-05,-5.749e-05,0.0002461,-0.0002461,9.749e-05,-9.749e-05
3.45,3.3,3.6,0.002267,4.692e-05,-4.692e-05,0.0001652,-0.0001652,6.581e-05,-6.581e-05
3.75,3.6,3.9,0.001543,3.835e-05,-3.835e-05,0.0001107,-0.0001107,4.119e-05,-4.119e-05
4.05,3.9,4.2,0.001112,3.262e-05,-3.262e-05,7.99e-05,-7.99e-05,3.01e-05,-3.01e-05
4.4,4.2,4.6,0.0007495,2.289e-05,-2.289e-05,5.684e-05,-5.684e-05,2.093e-05,-2.093e-05
4.8,4.6,5.0,0.0004827,1.852e-05,-1.852e-05,3.628e-05,-3.628e-05,1.345e-05,-1.345e-05
5.2,5.0,5.4,0.0003108,1.482e-05,-1.482e-05,2.462e-05,-2.462e-05,9.003e-06,-9.003e-06
5.65,5.4,5.9,0.000211,1.102e-05,-1.102e-05,1.374e-05,-1.374e-05,7.467e-06,-7.467e-06
6.2,5.9,6.5,0.0001276,7.943e-06,-7.943e-06,8.972e-06,-8.972e-06,4.831e-06,-4.831e-06
6.75,6.5,7.0,0.0001012,7.546e-06,-7.546e-06,6.959e-06,-6.959e-06,3.732e-06,-3.732e-06
7.5,7.0,8.0,5.481e-05,3.957e-06,-3.957e-06,3.385e-06,-3.385e-06,1.845e-06,-1.845e-06
9.0,8.0,10.0,2.379e-05,2.019e-06,-2.019e-06,1.693e-06,-1.693e-06,1.254e-06,-1.254e-06
11.0,10.0,12.0,7.192e-06,1.167e-06,-1.167e-06,4.64e-07,-4.64e-07,3.45e-07,-3.45e-07

