#: table_doi: 10.17182/hepdata.77284.v1/t9
#: name: Table 9
#: description: $K^{0}_{S}$ transverse momentum spectrum: V0M Class IX (pp at $\sqrt{s}=7$ TeV).
#: data_file: data9.yaml
#: data_license:   
#: keyword reactions: P P --> K0S X
#: keyword observables: D2N/DPT/DYRAP
#: keyword phrases: 
#: keyword energies: 7000.0
#: Multiplicity,,,V0M Class IX
#: RE,,,P P --> $K^{0}_{S}$ + X
#: SQRT(S) [GEV],,,7000.0
#: YRAP(CM),,,-0.5 0.5
$p_{T}$ (GeV/c),$p_{T}$ (GeV/c) LOW,$p_{T}$ (GeV/c) HIGH,$\frac{1}{N_{ev}}\frac{d^2N}{dy dp_{T}}$ (GeV/c)$^{-1}$,stat +,stat -,"sys,total +","sys,total -","sys,uncorr +","sys,uncorr -"
0.05,0.0,0.1,0.07904,0.0036,-0.0036,0.005453,-0.005453,0.003698,-0.003698
0.15,0.1,0.2,0.1946,0.001779,-0.001779,0.01238,-0.01238,0.008781,-0.008781
0.25,0.2,0.3,0.269,0.001651,-0.001651,0.01642,-0.01642,0.01187,-0.01187
0.35,0.3,0.4,0.2916,0.001546,-0.001546,0.01781,-0.01781,0.01267,-0.01267
0.45,0.4,0.5,0.2728,0.001314,-0.001314,0.01666,-0.01666,0.01174,-0.01174
0.55,0.5,0.6,0.2392,0.001079,-0.001079,0.01439,-0.01439,0.009815,-0.009815
0.65,0.6,0.7,0.1992,0.0008797,-0.0008797,0.01192,-0.01192,0.008021,-0.008021
0.75,0.7,0.8,0.1609,0.000721,-0.000721,0.009499,-0.009499,0.006165,-0.006165
0.85,0.8,0.9,0.1292,0.0006019,-0.0006019,0.007699,-0.007699,0.004883,-0.004883
0.95,0.9,1.0,0.1027,0.0005069,-0.0005069,0.006067,-0.006067,0.00379,-0.00379
1.05,1.0,1.1,0.0828,0.000437,-0.000437,0.004877,-0.004877,0.002964,-0.002964
1.15,1.1,1.2,0.06592,0.0003768,-0.0003768,0.003889,-0.003889,0.002336,-0.002336
1.25,1.2,1.3,0.05266,0.0003286,-0.0003286,0.003132,-0.003132,0.001851,-0.001851
1.35,1.3,1.4,0.04207,0.000288,-0.000288,0.002518,-0.002518,0.001455,-0.001455
1.45,1.4,1.5,0.03441,0.0002554,-0.0002554,0.002045,-0.002045,0.001178,-0.001178
1.55,1.5,1.6,0.02832,0.0002287,-0.0002287,0.001694,-0.001694,0.0009662,-0.0009662
1.65,1.6,1.7,0.02311,0.0002037,-0.0002037,0.00142,-0.00142,0.00083,-0.00083
1.75,1.7,1.8,0.01887,0.0001805,-0.0001805,0.001181,-0.001181,0.0006685,-0.0006685
1.85,1.8,1.9,0.01587,0.0001642,-0.0001642,0.0009985,-0.0009985,0.0005594,-0.0005594
1.95,1.9,2.0,0.01319,0.000149,-0.000149,0.0008401,-0.0008401,0.0004691,-0.0004691
2.1,2.0,2.2,0.01004,9.092e-05,-9.092e-05,0.0006618,-0.0006618,0.0003493,-0.0003493
2.3,2.2,2.4,0.007155,7.555e-05,-7.555e-05,0.0004884,-0.0004884,0.0002526,-0.0002526
2.5,2.4,2.6,0.005087,6.334e-05,-6.334e-05,0.0003689,-0.0003689,0.0001852,-0.0001852
2.7,2.6,2.8,0.003693,5.339e-05,-5.339e-05,0.0002712,-0.0002712,0.0001326,-0.0001326
2.9,2.8,3.0,0.002771,4.567e-05,-4.567e-05,0.0002074,-0.0002074,0.0001006,-0.0001006
3.15,3.0,3.3,0.001895,3.07e-05,-3.07e-05,0.0001447,-0.0001447,6.932e-05,-6.932e-05
3.45,3.3,3.6,0.001293,2.517e-05,-2.517e-05,9.928e-05,-9.928e-05,4.882e-05,-4.882e-05
3.75,3.6,3.9,0.0008549,2.023e-05,-2.023e-05,6.411e-05,-6.411e-05,2.948e-05,-2.948e-05
4.05,3.9,4.2,0.0006155,1.735e-05,-1.735e-05,4.615e-05,-4.615e-05,2.126e-05,-2.126e-05
4.4,4.2,4.6,0.0003882,1.171e-05,-1.171e-05,3.079e-05,-3.079e-05,1.411e-05,-1.411e-05
4.8,4.6,5.0,0.0002643,9.75e-06,-9.75e-06,2.043e-05,-2.043e-05,8.774e-06,-8.774e-06
5.2,5.0,5.4,0.0001763,7.865e-06,-7.865e-06,1.449e-05,-1.449e-05,6.401e-06,-6.401e-06
5.65,5.4,5.9,0.000117,5.904e-06,-5.904e-06,8.085e-06,-8.085e-06,4.95e-06,-4.95e-06
6.2,5.9,6.5,6.669e-05,4.058e-06,-4.058e-06,4.885e-06,-4.885e-06,2.872e-06,-2.872e-06
6.75,6.5,7.0,4.751e-05,3.761e-06,-3.761e-06,3.392e-06,-3.392e-06,1.977e-06,-1.977e-06
7.5,7.0,8.0,3.135e-05,2.123e-06,-2.123e-06,2.018e-06,-2.018e-06,1.198e-06,-1.198e-06
9.0,8.0,10.0,1.028e-05,8.928e-07,-8.928e-07,7.635e-07,-7.635e-07,5.842e-07,-5.842e-07
11.0,10.0,12.0,3.978e-06,5.895e-07,-5.895e-07,2.729e-07,-2.729e-07,2.122e-07,-2.122e-07

