#: table_doi: 10.17182/hepdata.90955.v1/t1
#: name: Table 1
#: description: $v_2\{2\}$ with $|\Delta \eta| > 1.4$ in pp collisions at $\sqrt{s} = 13$ TeV.
#: data_file: v22Gap14_pp13TeV.yaml
#: keyword reactions: p p --> CHARGED X
#: keyword observables: v22Gap14
#: keyword cmenergies: 13000.0
#: RE,,,p p --> CHARGED X
#: SQRT(S) [GEV],,,13000
#: ABS(ETA),,,< 0.8 (LAB)
#: PT,,,0.2 - 3.0 GeV
Charged particle multiplicity,Charged particle multiplicity LOW,Charged particle multiplicity HIGH,v22Gap14,stat +,stat -,sys +,sys -
21.056,20.551,21.515,0.05697325,0.00149772,-0.00149772,0.001443178,-0.001443178
26.869,26.214,27.465,0.056193687,0.000828322,-0.000828322,0.001149512,-0.001149512
32.614,31.808,33.351,0.056332203,0.000552526,-0.000552526,0.000903513,-0.000903513
38.328,37.368,39.208,0.056818314,0.000539933,-0.000539933,0.00091131,-0.00091131
44.104,42.986,45.132,0.058116917,0.000500611,-0.000500611,0.000932138,-0.000932138
50.116,48.829,51.3,0.059332373,0.000553668,-0.000553668,0.000951633,-0.000951633
55.786,54.34,57.12,0.05904797,0.000596266,-0.000596266,0.000947071,-0.000947071
61.435,59.827,62.92,0.059003031,0.000725107,-0.000725107,0.000946351,-0.000946351
67.064,65.294,68.702,0.059268308,0.00070578,-0.00070578,0.000950605,-0.000950605
72.675,70.742,74.466,0.057486902,0.001351122,-0.001351122,0.000922033,-0.000922033
78.269,76.172,80.215,0.060383157,0.001612902,-0.001612902,0.000968486,-0.000968486
83.849,81.586,85.95,0.059738156,0.002566697,-0.002566697,0.000958141,-0.000958141
89.414,86.986,91.672,0.059369505,0.004239722,-0.004239722,0.001002132,-0.001002132

